Name,Code,Lat.,Lon.
Barrow Observatory,BRW,71.32252783254329,-156.6240875236084
Boulder Observatory,BOU,40.13784969072873,-105.2374878641462
College Observatory,CMO,64.87374499196437,-147.8606121834722
Deadhorse Observatory,DED,70.35389159176349,-148.7942784248735
Fredericksburg Observatory,FRD,38.20378780858088,-77.37298534826834
Fresno Observatory,FRN,37.09120038448985,-119.7191613974757
Guam Observatory,GUA,13.589538557123,144.8688091405241
Honolulu Observatory,HON,21.31609278131448,-157.9990566504046
Newport Observatory,NEW,48.26510536369627,-117.124591475115
San Juan Observatory,SJG,18.11125205447475,-66.14964450426493
Shumagin Observatory,SHU,55.34700864218874,-160.4645282730919
Sitka Observatory,SIT,57.0566560125903,-135.3266123490301
Stennis Observatory,BSL,30.35032770006712,-89.63592559907487
Tucson Observatory,TUC,32.17446455092219,-110.7333459063993
