Sample ID	Sample label	U [mg/kg]	Th [mg/kg]	232Th/238U	206Pb [mg/kg]	f206 [%]	207Pb/206Pb	207Pb/206Pb e rel [%]	207Pb/235U	207Pb/235U e rel [%]	206Pb/238U	206Pb/238U e rel [%]	Age dated [ka] (Age, 206Pb/238U Lead-Uranium)	Age e [±] (Age, 206Pb/238U Lead-Uranium)	Age dated [ka] (Age, 207Pb/206Pb Lead-Lead)	Age e [±] (Age, 207Pb/206Pb Lead-Lead)	Perc [%]
ABA/69	1.1c	358	97	0.28	24.9	0.10	0.06	1.80	0.66	2.2	0.08	1.3	502000	6200	566000	40000	11
ABA/69	2.1ic	1088	113	0.11	157.0	0.42	0.08	1.90	1.75	2.3	0.17	1.4	999000	13000	1092000	38000	9
ABA/69	3.1c	2104	173	0.09	155.0	0.00	0.06	0.77	0.69	1.3	0.09	1.0	530000	5300	552000	17000	4
ABA/69	4.1c	7074	2240	0.33	516.0		0.06	0.26	0.67	1.1	0.08	1.1	525000	5400	492000	5800	-7
ABA/69	5.1c	7459	410	0.06	518.0	0.13	0.06	0.35	0.63	1.1	0.08	1.0	501000	5000	486000	7800	-3
ABA/69	6.1c	815	236	0.30	55.2	0.04	0.06	0.93	0.62	1.5	0.08	1.2	489000	5600	482000	21000	-2
ABA/69	7.1ic	720	168	0.24	110.0	0.01	0.08	0.52	1.88	1.2	0.18	1.1	1052000	11000	1124000	10000	6
ABA/69	8.1ic	848	98	0.12	143.0	0.02	0.08	11.00	2.19	11.0	0.20	3.3	1156000	35000	1222000	210000	5
ABA/69	9.1c	729	726	1.03	53.1	3.99	0.06	5.50	0.63	5.7	0.08	1.5	504000	7100	443000	120000	-14
ABA/69	10.1c	751	731	1.01	51.6	0.13	0.06	1.30	0.64	1.8	0.08	1.2	496000	5600	531000	28000	7
ABA/69	11.1c	574	425	0.76	39.2	0.09	0.06	1.10	0.62	1.6	0.08	1.1	492000	5200	493000	25000	0
ABA/69	12.1c	528	181	0.35	69.6	0.06	0.07	0.82	1.50	1.5	0.15	1.2	920000	11000	959000	17000	4
ABA/69	13.1c	1225	999	0.84	78.6	0.19	0.06	1.10	0.58	1.6	0.07	1.2	464000	5200	484000	24000	4
ABA/69	14.1ic	121	60	0.51	15.5	0.00	0.07	1.90	1.48	2.4	0.15	1.4	892000	12000	990000	39000	10
ABA/69	15.1c	741	801	1.12	52.6	1.35	0.06	2.30	0.64	2.5	0.08	1.1	505000	5300	489000	51000	-3
ABA/69	16.1c	609	537	0.91	42.5	0.62	0.06	3.10	0.65	3.3	0.08	1.1	501000	5300	534000	67000	6
ABA/69	17.1c	799	560	0.72	56.0	0.92	0.06	1.80	0.64	2.1	0.08	1.1	502000	5300	491000	40000	-2
ABA/69	18.1ic	116	51	0.45	13.3	0.00	0.07	2.60	1.31	3.7	0.13	2.7	803000	20000	971000	52000	17
ABA/69	19.1ic	93	60	0.67	13.9	0.13	0.07	2.50	1.76	2.9	0.17	1.3	1029000	13000	1037000	51000	1
