SAMPLE ID	CALCULATED AGE	CALCULATED MAX AGE	CALCULATED MIN AGE	LATITUDE	LONGITUDE	STATE
82-97	0	0.006	0.002	41.409	-122.1945	CALIFORNIA
97-4	0	0.006	0.002	41.4272	-122.16	CALIFORNIA
99-12A	0	0.006	0.002	41.4258	-122.1635	CALIFORNIA
99-14	0	0.006	0.002	41.4153	-122.1793	CALIFORNIA
99-15	0	0.006	0.002	41.4298	-122.1695	CALIFORNIA
99-16	0	0.006	0.002	41.4287	-122.1625	CALIFORNIA
99-19	0	0.006	0.002	41.4458	-122.1608	CALIFORNIA
MSH 33	0	0.004	0	46.22	-122.187	WASHINGTON
Fi-32	0	1	0	38.7	-113	UTAH
CAR-15	0	0.0015	0	33.76257	-106.01613	NEW MEXICO
CAR-19	0	0.0015	0	33.399567	-106.19977	NEW MEXICO
CAR-11	0	0.0015	0	33.818436	-105.93787	NEW MEXICO
MAC-14	0	0.001	0	34.836143	-108.03693	NEW MEXICO
MAC-18	0	0.001	0	35.115314	-107.98604	NEW MEXICO
s_5	0	0.0038	0.0038	46.206	-121.49	WASHINGTON
CO73	0	0.01	0	19.51	-103.62	JALISCO
BO74-1	0	0.0006	0.0002	38.006668	-119.025	CALFORNIA
s_480	0	0.0038	0.001	46.206	-121.49	WASHINGTON
s_253	0	0.0038	0.001	46.206	-121.49	WASHINGTON
69-19	0	0.0025	0.002	43.4517	-113.5353	IDAHO
SH20	0	0.0024	0.002	46.2	-122.18	WASHINGTON
SH16	0	-0.00153	-0.00163	46.2	-122.18	WASHINGTON
s_L82-63	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_L82-59	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_DS-61	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_L82-57	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_DS-2	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_DS-33	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_DS-79	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_SH-3	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_MSH-484-1	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_SH-25	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_DS-78	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_DS-6	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_L82-56	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_SS-17	0	0.01	0	44.1	-121.75	OREGON
s_SH-114	0	0.01	0	46.1436	-122.2019	WASHINGTON
s_SS-18	0	0.01	0	44.1	-121.75	OREGON
s_RM-4	0	0.01	0	44.1	-121.75	OREGON
s_SS-73	0	0.01	0	44.1	-121.75	OREGON
s_SS-75	0	0.01	0	44.1	-121.75	OREGON
s_SS-69	0	0.01	0	44.1	-121.75	OREGON
s_SS-52	0	0.01	0	44.1	-121.75	OREGON
s_SS-60	0	0.01	0	44.1	-121.75	OREGON
s_SS-62	0	0.01	0	44.1	-121.75	OREGON
s_SS-48	0	0.01	0	44.1	-121.75	OREGON
s_SS-40	0	0.01	0	44.1	-121.75	OREGON
s_SS-7	0	0.01	0	44.1	-121.75	OREGON
s_SS-21	0	0.01	0	44.1	-121.75	OREGON
s_SS-26	0	0.01	0	44.1	-121.75	OREGON
s_SS-20	0	0.01	0	44.1	-121.75	OREGON
s_SS-16	0	0.01	0	44.1	-121.75	OREGON
s_SS-13	0	0.01	0	44.1	-121.75	OREGON
s_SS-8	0	0.01	0	44.1	-121.75	OREGON
s_SS-9	0	0.01	0	44.1	-121.75	OREGON
s_SS-4	0	0.01	0	44.1	-121.75	OREGON
s_SS-1	0	0.01	0	44.1	-121.75	OREGON
CHI-01	0	0.01	0	19.08	-99.2	MORELOS
CHI-07	0	0.01	0	19.08	-99.2	MORELOS
CHI-49/113	0	0.01	0	19.08	-99.2	MORELOS
CHI-70/MXC5	0	0.01	0	19.08	-99.2	MORELOS
CHI-80/110	0	0.01	0	19.08	-99.2	MORELOS
CP-141	0	0.01	0	19.43	-96.81	VERACRUZ
CP-48b	0	0.01	0	19.43	-96.81	VERACRUZ
CP-57	0	0.01	0	19.43	-96.81	VERACRUZ
CP-75	0	0.01	0	19.43	-96.81	VERACRUZ
9221	0	0.01	0	19.19	-97.35	PUEBLA
s_46	0	0.0038	0.0038	46.206	-121.49	WASHINGTON
s_T652	0	0.0038	0.0038	46.206	-121.49	WASHINGTON
F24	0	0.01	0	19.51	-103.62	JALISCO
F27	0	0.01	0	19.51	-103.62	JALISCO
Glass 1	0	0.01	0	19.51	-103.62	JALISCO
Glass 4	0	0.01	0	19.51	-103.62	JALISCO
Glass 6	0	0.01	0	19.51	-103.62	JALISCO
CO75	0	0.01	0	19.51	-103.62	JALISCO
CO77	0	0.01	0	19.51	-103.62	JALISCO
CO92	0	0.01	0	19.51	-103.62	JALISCO
A6022	0	1	0	35.299	-111.329	ARIZONA
W-186981	0	-0.00063	-0.00103	46.2	-122.18	WASHINGTON
509M-a	0	0.005	0	41.6	-121.6	CALIFORNIA
1473M	0	0.005	0	41.6	-121.6	CALIFORNIA
1555M	0	0.005	0	41.6	-121.6	CALIFORNIA
1580M	0	0.005	0	41.6	-121.5	CALIFORNIA
1706M-a	0	0.005	0	41.6	-121.5	CALIFORNIA
1738M	0	0.005	0	41.6	-121.5	CALIFORNIA
1157M-a	0	0.005	0	41.5	-121.5	CALIFORNIA
1428M	0	0.005	0	41.6	-121.5	CALIFORNIA
662M	0	0.005	0	41.6	-121.7	CALIFORNIA
663M-c	0	0.005	0	41.6	-121.7	CALIFORNIA
692M	0	0.005	0	41.5	-121.5	CALIFORNIA
35M	0	0.005	0	41.6	-121.7	CALIFORNIA
I-2-16	0	0.00065	0.00055	37.751	-119.018	CALIFORNIA
I-3-17	0	0.00065	0.00055	37.751	-119.018	CALIFORNIA
s_MSH372-2	0	0.0029	0.0029	46.2	-122.18	WASHINGTON
s_MSH338-3	0	0.0039	0.00335	46.2	-122.18	WASHINGTON
s_MSH336-4	0	0.0039	0.00335	46.2	-122.18	WASHINGTON
s_MSH341-1	0	0.0039	0.00335	46.2	-122.18	WASHINGTON
s_MSH325-1	0	0.000204	0	46.2	-122.18	WASHINGTON
s_MSH365-4	0	0.000524	0.000204	46.2	-122.18	WASHINGTON
s_MSH320-1	0	0.000524	0.000204	46.2	-122.18	WASHINGTON
IMpf3	0	0.01	0	19.19	-97.35	PUEBLA
No Sample Name	0	0.01	0	41.5675	-121.685	CALIFORNIA
No Sample Name	0	0.01	0	41.5675	-121.685	CALIFORNIA
No Sample Name	0	0.01	0	41.5675	-121.685	CALIFORNIA
No Sample Name	0	0.01	0	41.5675	-121.685	CALIFORNIA
No Sample Name	0	0.01	0	41.5675	-121.685	CALIFORNIA
No Sample Name	0	0.01	0	41.6167	-121.5	CALIFORNIA
No Sample Name	0	0.01	0	41.6167	-121.5	CALIFORNIA
No Sample Name	0	0.01	0	41.6167	-121.5	CALIFORNIA
MC73-1A	0	0.01	0	37.7667	-119.0167	CALIFORNIA
RGM-1	0	0.01	0	41.62	-121.4833	CALIFORNIA
141	0	0.01	0	41.6238	-121.461	CALIFORNIA
142	0	0.01	0	41.5225	-121.7067	CALIFORNIA
UMsdf	0	0.01	0	19.19	-97.35	PUEBLA
PB34	0	1	0	35.1667	-115.8667	CALIFORNIA
IMpf2	0	0.01	0	19.19	-97.35	PUEBLA
NM4036	0	1	0	35.078	-107.789	NEW MEXICO
NM7009	0	1	0	33.519	-106.874	NEW MEXICO
U5017	0	1	0	37.225	-113.282	UTAH
A6054	0	1	0	35.346	-111.675	ARIZONA
A4005	0	1	0	31.445	-109.312	ARIZONA
C5011	0	1	0	35.952	-117.846	CALIFORNIA
CP-84e	0	0.01	0	19.43	-96.81	VERACRUZ
CHI-70/C85-14	0	0.01	0	19.08	-99.2	MORELOS
CP-100	0	0.01	0	19.43	-96.81	VERACRUZ
CHI-49/208	0	0.01	0	19.08	-99.2	MORELOS
CHI-05	0	0.01	0	19.08	-99.2	MORELOS
CHI-13/252	0	0.01	0	19.08	-99.2	MORELOS
s_MSH90-7	0	0.007	0.001	46.1967	-122.1467	WASHINGTON
D-1652	0	1	0	42.716667	-114.83334	IDAHO
WPL-83	0	1	0	42.65	-114.43333	IDAHO
D-1648	0	1	0	42.666668	-114.78333	IDAHO
WPL-82	0	1	0	42.9	-114.71667	IDAHO
WPL-88	0	1	0	43.516666	-112.83334	IDAHO
B-418	0	1	0	43.016666	-114.86667	IDAHO
69-28	0	0.00208	0	43.25	-113.3	IDAHO
MAC-6	0	0.001	0	34.858444	-107.97198	NEW MEXICO
MAC-17	0	0.001	0	34.93257	-107.96423	NEW MEXICO
MAC-5B	0	0.001	0	34.897186	-107.90656	NEW MEXICO
MAC-13	0	0.001	0	34.704292	-108.04565	NEW MEXICO
MAC-15	0	0.001	0	35.029987	-107.85324	NEW MEXICO
CAR-9	0	0.0015	0	33.77975	-105.91119	NEW MEXICO
CAR-10	0	0.0015	0	33.800655	-105.9223	NEW MEXICO
CAR-26	0	0.0015	0	33.49116	-106.14062	NEW MEXICO
CAR-7	0	0.0015	0	33.719723	-105.9183	NEW MEXICO
CAR-24	0	0.0015	0	33.277287	-106.27669	NEW MEXICO
CAR-12	0	0.0015	0	33.85935	-106.01123	NEW MEXICO
CAR-13	0	0.0015	0	33.851345	-105.99656	NEW MEXICO
CAR-18	0	0.0015	0	33.394676	-106.14062	NEW MEXICO
M81-23	0	0.01	0	19.7	-103.63	JALISCO
Fi-24	0	1	0	38.7	-113	UTAH
Glass 8	0	0.01	0	19.51	-103.62	JALISCO
MAC-12	0	0.001	0	34.728996	-108.0379	NEW MEXICO
1553M	0	0.005	0	41.6	-121.6	CALIFORNIA
1739M	0	0.005	0	41.6	-121.6	CALIFORNIA
1740M	0	0.005	0	41.6	-121.7	CALIFORNIA
1746M	0	0.005	0	41.6	-121.7	CALIFORNIA
LGM-13	0	0.005	0	41.6	-121.7	CALIFORNIA
85-15b	0	0.005	0	41.5	-121.5	CALIFORNIA
86-1a	0	0.005	0	41.5	-121.5	CALIFORNIA
1652M	0	0.005	0	41.6	-121.5	CALIFORNIA
1683M-A	0	0.005	0	41.6	-121.5	CALIFORNIA
1513M	0	0.005	0	41.7	-121.6	CALIFORNIA
1525M	0	0.005	0	41.6	-121.6	CALIFORNIA
1543M	0	0.005	0	41.6	-121.5	CALIFORNIA
1543M-a	0	0.005	0	41.6	-121.5	CALIFORNIA
1308M	0	0.005	0	41.6	-121.5	CALIFORNIA
1329M	0	0.005	0	41.6	-121.6	CALIFORNIA
1045M-a	0	0.005	0	41.6	-121.5	CALIFORNIA
1117M	0	0.005	0	41.6	-121.6	CALIFORNIA
1140M-h	0	0.005	0	41.6	-121.5	CALIFORNIA
716M-a	0	0.005	0	41.5	-121.5	CALIFORNIA
404M	0	0.005	0	41.6	-121.5	CALIFORNIA
110M	0	0.005	0	41.6	-121.5	CALIFORNIA
146M	0	0.005	0	41.7	-121.6	CALIFORNIA
62P-81	0	0.0024	0.002	43.4588	-113.5656	IDAHO
MAC-3	0	0.001	0	35.027626	-107.83628	NEW MEXICO
s_GC-2B	0	0.01	0	41.53	-121.63	CALIFORNIA
s_GC-2B	0	0.01	0	41.53	-121.63	CALIFORNIA
DS-62	0	0.004	0	45.93	-121.82	WASHINGTON
H-SH17	0	0.004	0	46.2	-122.2	WASHINGTON
82-56	0	0.004	0	46.2	-122.2	WASHINGTON
M3(m1-2)	0	0.0012	0.0006	38	-119	CALIFORNIA
M22-1	0	0.0012	0.0006	38	-119	CALIFORNIA
Pao3	0	0.0003	0.0002	38	-119	CALIFORNIA
s_MSH-1	0	0.01	0	46.2	-122.18	WASHINGTON
BT-1	0	0.0024	0.002	43.426388	-113.54278	IDAHO
BT-2	0	0.0024	0.002	43.43722	-113.53889	IDAHO
NC-2	0	0.0024	0.002	43.46	-113.56416	IDAHO
SE-1	0	0.0024	0.002	43.485	-113.51195	IDAHO
O-8	0	0.006	0	44.17	-121.77	OREGON
SE-5	0	0.0024	0.002	43.47278	-113.52139	IDAHO
O-1006	0	0.006	0	43	-122	OREGON
O-1008	0	0.006	0	44	-113	OREGON
I-287	0	0.006	0	42.85	-122.116	CALIFORNIA
SE-6	0	0.0024	0.002	43.461113	-113.56306	IDAHO
HW-5	0	0.0024	0.002	43.4575	-113.56889	IDAHO
VC-1	0	0.0045	0.0035	43.33917	-113.44056	IDAHO
VC-2	0	0.0045	0.0035	43.333332	-113.42917	IDAHO
BL-2	0	0.0045	0.0035	43.483334	-113.375	IDAHO
I-3-2g	0	0.00065	0.00055	37.751	-119.018	CALIFORNIA
SS6-1	0	0.00065	0.00055	37.751	-119.018	CALIFORNIA
SS5-2	0	0.00065	0.00055	37.751	-119.018	CALIFORNIA
SS5-3	0	0.00065	0.00055	37.751	-119.018	CALIFORNIA
I-5-23	0	0.00065	0.00055	37.751	-119.018	CALIFORNIA
I-5-2	0	0.00065	0.00055	37.751	-119.018	CALIFORNIA
I-3-1	0	0.00065	0.00055	37.751	-119.018	CALIFORNIA
I-2-2	0	0.00065	0.00055	37.751	-119.018	CALIFORNIA
L82-54	0	0.00045	0.00035	46.2	-122.18	WASHINGTON
L82-43	0	0.00045	0.00035	46.2	-122.18	WASHINGTON
355-1	0	0.00045	0.00035	46.2	-122.18	WASHINGTON
SH-18	0	0.00045	0.00035	46.2	-122.18	WASHINGTON
SH-4	0	0.00045	0.00035	46.2	-122.18	WASHINGTON
SH-20	0	0.004	0.003	46.2	-122.18	WASHINGTON
SH-24	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
SH-17	0	0.004	0.003	46.2	-122.18	WASHINGTON
SH-19	0	0.004	0.003	46.2	-122.18	WASHINGTON
s_MSH518-3	0	0.0039	0.00335	46.2	-122.18	WASHINGTON
s_MSH309-9	0	0.0039	0.00335	46.2	-122.18	WASHINGTON
s_MSH368-1	0	0.0029	0.0029	46.2	-122.18	WASHINGTON
s_MSH367-3	0	0.0039	0.00335	46.2	-122.18	WASHINGTON
s_MSH334-1	0	0.0039	0.00335	46.2	-122.18	WASHINGTON
s_MSH313-1	0	0.000524	0.000204	46.2	-122.18	WASHINGTON
82-91a	0	0.006	0.002	41.4723	-122.1313	CALIFORNIA
82-91b	0	0.006	0.002	41.4723	-122.1313	CALIFORNIA
82-96	0	0.006	0.002	41.4555	-122.1795	CALIFORNIA
83-44	0	0.006	0.002	41.4088	-122.1388	CALIFORNIA
83-45	0	0.006	0.002	41.4167	-122.1537	CALIFORNIA
83-46	0	0.006	0.002	41.4195	-122.1643	CALIFORNIA
83-54	0	0.006	0.002	41.4105	-122.1922	CALIFORNIA
83-55	0	0.006	0.002	41.411	-122.1933	CALIFORNIA
97-5	0	0.006	0.002	41.424	-122.1735	CALIFORNIA
97-6	0	0.006	0.002	41.4347	-122.1735	CALIFORNIA
99-12B	0	0.006	0.002	41.4258	-122.1635	CALIFORNIA
99-13	0	0.006	0.002	41.4153	-122.1792	CALIFORNIA
99-17	0	0.006	0.002	41.4508	-122.1725	CALIFORNIA
99-18	0	0.006	0.002	41.4462	-122.1677	CALIFORNIA
CP-127	0	0.01	0	19.43	-96.81	VERACRUZ
CP-140	0	0.01	0	19.43	-96.81	VERACRUZ
s_MJ-BB3	0	0.001929	0	44.692	-121.8	OREGON
CAR-16	0	0.0015	0	33.600563	-106.03703	NEW MEXICO
MAC-5A	0	0.001	0	34.90061	-107.91819	NEW MEXICO
MAC-19	0	0.001	0	35.11082	-108.01028	NEW MEXICO
MSH 186	0	0.004	0	46.22	-122.187	WASHINGTON
DS-61	0	0.004	0	46.221	-122.167	WASHINGTON
DS-72	0	0.004	0	46.229	-122.187	WASHINGTON
DS-27	0	0.004	0	46.056	-122.247	WASHINGTON
BO74-2	0	0.0006	0.0002	38.006668	-119.025	CALFORNIA
R13	0	1	0	43.730556	-112.52778	IDAHO
CM-2	0	0.0025	0.002	43.4517	-113.5353	IDAHO
69-20	0	0.0025	0.002	43.4517	-113.5353	IDAHO
V-31	0	0.0025	0.002	43.4517	-113.5353	IDAHO
V-27	0	0.0025	0.002	43.4577	-113.5695	IDAHO
SH14	0	0.004	0.003	46.2	-122.18	WASHINGTON
s_MSH-260-1	0	0.000226	0.000524	46.2	-122.18	WASHINGTON
s_DS-70	0	0.000226	0.000524	46.2	-122.18	WASHINGTON
s_L82-47	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_L82-48	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_L82-44	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_L82-45	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_DS-4	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_MSH-486-1	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_L82-42	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_DS-73	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_L82-55	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_DS-71	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_DS-2	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_DS-72	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_DS-76	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_DS-77	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_L82-41A	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_L82-40	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_DS-9	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_DS-7	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_DS-5	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_DS-27	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_SS-70	0	0.01	0	44.1	-121.75	OREGON
s_RM-3	0	0.01	0	44.1	-121.75	OREGON
s_RM-2	0	0.01	0	44.1	-121.75	OREGON
s_SS-68	0	0.01	0	44.1	-121.75	OREGON
s_SS-64	0	0.01	0	44.1	-121.75	OREGON
s_SS-66	0	0.01	0	44.1	-121.75	OREGON
s_SS-49	0	0.01	0	44.1	-121.75	OREGON
s_SS-47	0	0.01	0	44.1	-121.75	OREGON
s_SS-45	0	0.01	0	44.1	-121.75	OREGON
s_SS-34	0	0.01	0	44.1	-121.75	OREGON
s_SS-38	0	0.01	0	44.1	-121.75	OREGON
s_SS-31	0	0.01	0	44.1	-121.75	OREGON
s_SS-33	0	0.01	0	44.1	-121.75	OREGON
s_SS-30	0	0.01	0	44.1	-121.75	OREGON
s_SS-19	0	0.01	0	44.1	-121.75	OREGON
s_SS-14	0	0.01	0	44.1	-121.75	OREGON
s_SS-10	0	0.01	0	44.1	-121.75	OREGON
s_SS-6	0	0.01	0	44.1	-121.75	OREGON
CHI-02	0	0.01	0	19.08	-99.2	MORELOS
CHI-05/209	0	0.01	0	19.08	-99.2	MORELOS
CHI-11	0	0.01	0	19.08	-99.2	MORELOS
CHI-13	0	0.01	0	19.08	-99.2	MORELOS
CP-124	0	0.01	0	19.43	-96.81	VERACRUZ
CP-49	0	0.01	0	19.43	-96.81	VERACRUZ
CP-51	0	0.01	0	19.43	-96.81	VERACRUZ
CP-65	0	0.01	0	19.43	-96.81	VERACRUZ
CP-76	0	0.01	0	19.43	-96.81	VERACRUZ
CP-89	0	0.01	0	19.43	-96.81	VERACRUZ
CP-94	0	0.01	0	19.43	-96.81	VERACRUZ
CP-98	0	0.01	0	19.43	-96.81	VERACRUZ
s_46	0	0.0038	0.0038	46.206	-121.49	WASHINGTON
s_253	0	0.0038	0.001	46.206	-121.49	WASHINGTON
s_30	0	0.0048	0.0048	46.206	-121.49	WASHINGTON
s_30	0	0.0048	0.0048	46.206	-121.49	WASHINGTON
s_5	0	0.0038	0.0038	46.206	-121.49	WASHINGTON
Glass 9	0	0.01	0	19.51	-103.62	JALISCO
F21A	0	0.01	0	19.51	-103.62	JALISCO
F28	0	0.01	0	19.51	-103.62	JALISCO
Glass 2	0	0.01	0	19.51	-103.62	JALISCO
Glass 3	0	0.01	0	19.51	-103.62	JALISCO
Glass 5	0	0.01	0	19.51	-103.62	JALISCO
Glass 7	0	0.01	0	19.51	-103.62	JALISCO
CO79	0	0.01	0	19.51	-103.62	JALISCO
F18B	0	0.01	0	19.51	-103.62	JALISCO
F20A	0	0.01	0	19.51	-103.62	JALISCO
M-140497	0	-0.00155	-0.00165	46.2	-122.18	WASHINGTON
MAC-7	0	0.001	0	34.95974	-108.05631	NEW MEXICO
MAC-10	0	0.001	0	34.777477	-108.06698	NEW MEXICO
MAC-4	0	0.001	0	34.93841	-107.88087	NEW MEXICO
70-28L	0	0	0	42.819443	-111.59444	IDAHO
9238	0	0.01	0	19.19	-97.27	PUEBLA
9241	0	0.01	0	19.19	-97.35	PUEBLA
509M-b	0	0.005	0	41.6	-121.6	CALIFORNIA
531M-a	0	0.005	0	41.6	-121.7	CALIFORNIA
1622M	0	0.005	0	41.6	-121.5	CALIFORNIA
1631M	0	0.005	0	41.6	-121.6	CALIFORNIA
1715M	0	0.005	0	41.6	-121.5	CALIFORNIA
1149M-b	0	0.005	0	41.6	-121.5	CALIFORNIA
1151M-a	0	0.005	0	41.6	-121.6	CALIFORNIA
1151M-c	0	0.005	0	41.6	-121.6	CALIFORNIA
1155M	0	0.005	0	41.5	-121.5	CALIFORNIA
1167M-a	0	0.005	0	41.6	-121.6	CALIFORNIA
1406M	0	0.005	0	41.6	-121.5	CALIFORNIA
532M-a	0	0.005	0	41.6	-121.7	CALIFORNIA
663M-a	0	0.005	0	41.6	-121.7	CALIFORNIA
680M	0	0.005	0	41.6	-121.6	CALIFORNIA
945M	0	0.005	0	41.6	-121.5	CALIFORNIA
26M	0	0.005	0	41.6	-121.5	CALIFORNIA
41M	0	0.005	0	41.5	-121.7	CALIFORNIA
I-5-1	0	0.00065	0.00055	37.751	-119.018	CALIFORNIA
s_MSH336-6	0	0.0039	0.00335	46.2	-122.18	WASHINGTON
s_MSH309-3	0	0.0039	0.00335	46.2	-122.18	WASHINGTON
s_MSH341-10	0	0.0039	0.00335	46.2	-122.18	WASHINGTON
s_MSH357-2	0	0.000204	0	46.2	-122.18	WASHINGTON
s_MSH364-1	0	0.000524	0.000204	46.2	-122.18	WASHINGTON
s_MSH313-2	0	0.000524	0.000204	46.2	-122.18	WASHINGTON
UMpl	0	0.01	0	19.19	-97.35	PUEBLA
UMpls	0	0.01	0	19.19	-97.35	PUEBLA
ODC16-11	0	1	0	35.1833	-115.7167	CALIFORNIA
No Sample Name	0	0.01	0	37.7699	-118.7237	CALIFORNIA
No Sample Name	0	0.01	0	37.7765	-118.7326	CALIFORNIA
No Sample Name	0	0.01	0	37.7699	-118.7237	CALIFORNIA
No Sample Name	0	0.01	0	37.7699	-118.7237	CALIFORNIA
No Sample Name	0	0.01	0	41.5675	-121.685	CALIFORNIA
No Sample Name	0	0.01	0	41.6167	-121.5	CALIFORNIA
No Sample Name	0	0.01	0	41.6167	-121.5	CALIFORNIA
No Sample Name	0	0.01	0	41.6167	-121.5	CALIFORNIA
No Sample Name	0	0.01	0	41.6167	-121.5	CALIFORNIA
No Sample Name	0	0.01	0	41.6167	-121.5	CALIFORNIA
No Sample Name	0	0.01	0	41.6167	-121.5	CALIFORNIA
No Sample Name	0	0.01	0	41.6167	-121.5	CALIFORNIA
143	0	0.01	0	41.5765	-121.6767	CALIFORNIA
DS90-47	0	1	0	46.228	-121.82516	OREGON
WDS87-82	0	1	0	47.116165	-121.85467	OREGON
IMpf1	0	0.01	0	19.19	-97.35	PUEBLA
M-140488	0	-0.00155	-0.00165	46.2	-122.18	WASHINGTON
W-186983	0	-0.00155	-0.00165	46.2	-122.18	WASHINGTON
M-140490	0	-0.00155	-0.00165	46.2	-122.18	WASHINGTON
NM7014	0	1	0	34.824	-106.845	NEW MEXICO
NM7010	0	1	0	33.507	-106.906	NEW MEXICO
NM7011	0	1	0	33.684	-105.914	NEW MEXICO
A3008	0	1	0	32.883	-113.141	ARIZONA
CP84w	0	0.01	0	19.43	-96.81	VERACRUZ
CP-70	0	0.01	0	19.43	-96.81	VERACRUZ
CP-48	0	0.01	0	19.43	-96.81	VERACRUZ
CHI-42/249	0	0.01	0	19.08	-99.2	MORELOS
CHI-49/206	0	0.01	0	19.08	-99.2	MORELOS
CHI-05/114	0	0.01	0	19.08	-99.2	MORELOS
CHI-06	0	0.01	0	19.08	-99.2	MORELOS
CHI-09	0	0.01	0	19.08	-99.2	MORELOS
s_SH-118	0	0.01	0	46.1436	-122.2019	WASHINGTON
Hedge	0	1	0	42.8	-114.75	IDAHO
SBR-2	0	1	0	43.483334	-112.21667	IDAHO
D-1649	0	1	0	42.8	-114.75	IDAHO
MAC-20	0	0.001	0	35.087215	-108.04372	NEW MEXICO
MAC-21	0	0.001	0	35.06686	-108.04662	NEW MEXICO
MAC-8	0	0.001	0	34.908356	-108.0093	NEW MEXICO
MAC-2	0	0.001	0	35.062035	-107.79751	NEW MEXICO
MAC-16	0	0.001	0	34.977642	-107.85954	NEW MEXICO
CAR-8	0	0.0015	0	33.745068	-105.90807	NEW MEXICO
CAR-5	0	0.0015	0	33.657917	-105.96677	NEW MEXICO
CAR-6	0	0.0015	0	33.695713	-105.94009	NEW MEXICO
CAR-25	0	0.0015	0	33.440918	-106.16463	NEW MEXICO
CAR-27	0	0.0015	0	33.53207	-106.12462	NEW MEXICO
CAR-14	0	0.0015	0	33.82511	-106.02102	NEW MEXICO
CAR-17	0	0.0015	0	33.592117	-106.05926	NEW MEXICO
CAR-21	0	0.0015	0	33.34354	-106.2051	NEW MEXICO
CAR-22	0	0.0015	0	33.343987	-106.28513	NEW MEXICO
M81-22	0	0.01	0	19.69	-103.63	JALISCO
M81-17	0	0.01	0	19.79	-103.63	JALISCO
F2	0	0.01	0	19.51	-103.62	JALISCO
1545M	0	0.005	0	41.6	-121.5	CALIFORNIA
1554M	0	0.005	0	41.6	-121.6	CALIFORNIA
1764M	0	0.005	0	41.8	-121.6	CALIFORNIA
1774M	0	0.005	0	41.8	-121.5	CALIFORNIA
1896M	0	0.005	0	41.6	-121.5	CALIFORNIA
1235M	0	0.005	0	41.6	-121.7	CALIFORNIA
85-25	0	0.005	0	41.6	-121.6	CALIFORNIA
1661M	0	0.005	0	41.6	-121.5	CALIFORNIA
1661M-a	0	0.005	0	41.6	-121.5	CALIFORNIA
1679M	0	0.005	0	41.6	-121.5	CALIFORNIA
1683M-B	0	0.005	0	41.6	-121.5	CALIFORNIA
1690M	0	0.005	0	41.6	-121.5	CALIFORNIA
1691M	0	0.005	0	41.6	-121.5	CALIFORNIA
1705M	0	0.005	0	41.6	-121.5	CALIFORNIA
1527M	0	0.005	0	41.6	-121.6	CALIFORNIA
998M	0	0.005	0	41.6	-121.5	CALIFORNIA
1025M-j	0	0.005	0	41.6	-121.6	CALIFORNIA
1047M-b	0	0.005	0	41.6	-121.5	CALIFORNIA
1121M	0	0.005	0	41.6	-121.7	CALIFORNIA
113gM-a	0	0.005	0	41.6	-121.5	CALIFORNIA
708M	0	0.005	0	41.5	-121.7	CALIFORNIA
716M-b	0	0.005	0	41.5	-121.5	CALIFORNIA
753M	0	0.005	0	41.8	-121.5	CALIFORNIA
567M-a	0	0.005	0	41.6	-121.6	CALIFORNIA
648M-c	0	0.005	0	41.6	-121.6	CALIFORNIA
403M	0	0.005	0	41.6	-121.4	CALIFORNIA
403M-e	0	0.005	0	41.6	-121.5	CALIFORNIA
430M-b	0	0.005	0	41.6	-121.6	CALIFORNIA
45M	0	0.005	0	41.6	-121.6	CALIFORNIA
