Lon,Lat,Pole_Az,Pole_Plunge
-115.6948261,33.55487832,28.0,13.0
-115.694667,33.55479978,18.0,6.0
-115.6943856,33.55440573,185.0,13.0
-115.6940974,33.55432755,2.0,66.0
-115.6931426,33.5538094,48.0,45.0
-115.6926473,33.55377083,209.0,11.0
-115.6983755,33.55742837,225.0,34.0
-115.6984147,33.55687894,228.0,19.0
-115.6984708,33.55631404,23.0,13.0
-115.6994772,33.55652134,181.0,15.0
-115.7006035,33.55660858,205.0,27.0
-115.7011981,33.55605525,165.0,14.0
-115.7014652,33.5567421,163.0,21.0
-115.7018272,33.55692118,164.0,18.0
-115.7023994,33.55714368,201.0,24.0
-115.702964,33.55792253,157.0,61.0
-115.7029715,33.55776034,169.0,57.0
-115.7039407,33.55816845,193.0,39.0
-115.7058209,33.55846547,173.0,17.0
-115.7060697,33.55846287,135.0,22.0
-115.7065852,33.55849095,172.0,27.0
-115.7072954,33.5583995,179.0,33.0
-115.7079498,33.55856773,169.0,35.0
-115.7083879,33.55882874,188.0,32.0
-115.7097329,33.55907672,185.0,35.0
-115.7093335,33.5594039,157.0,58.0
-115.7093151,33.5595088,215.0,38.0
-115.7093866,33.5595653,32.0,34.0
-115.7094296,33.56043819,64.0,59.0
-115.7091857,33.56052109,56.0,43.0
-115.7084184,33.56050302,341.0,33.0
-115.7084085,33.56112517,43.0,30.0
-115.708191,33.56125752,5.0,51.0
-115.7084346,33.5617868,66.0,54.0
-115.7082092,33.56164342,56.0,52.0
-115.7076519,33.56154058,61.0,59.0
-115.7074435,33.56165801,50.0,46.0
-115.7062221,33.56145156,69.0,72.0
-115.706263,33.56213326,19.0,57.0
-115.7065861,33.56264707,67.0,62.0
-115.7066047,33.56277959,32.0,77.0
-115.7063823,33.56279338,40.0,74.0
-115.7058433,33.5624423,58.0,78.0
-115.705795,33.56177179,51.0,71.0
-115.7048239,33.56170897,74.0,60.0
-115.7037368,33.56326943,58.0,65.0
-115.7034294,33.56375667,267.0,82.0
-115.7027292,33.56280088,49.0,72.0
-115.7035367,33.56218582,68.0,73.0
-115.7039032,33.5615526,79.0,53.0
-115.7037184,33.56073969,28.0,31.0
-115.7035586,33.56008762,202.0,41.0
-115.7029133,33.55991776,190.0,50.0
-115.7019864,33.55972049,214.0,42.0
-115.7012352,33.55977145,68.0,63.0
-115.7010632,33.56011913,58.0,42.0
-115.7004775,33.55978691,30.0,50.0
-115.7006,33.55970532,45.0,48.0
-115.7006829,33.55958277,50.0,51.0
-115.700827,33.55939292,177.0,49.0
-115.7005983,33.55936568,185.0,35.0
-115.7003801,33.55828697,210.0,39.0
-115.6975252,33.55873985,37.0,31.0
-115.6968564,33.55952674,60.0,36.0
-115.696299,33.55962954,59.0,33.0
-115.6958855,33.55927734,31.0,45.0
-115.6956284,33.55941849,3.0,38.0
-115.6954625,33.56010928,34.0,51.0
-115.6945445,33.56040282,52.0,36.0
-115.6944186,33.56040764,41.0,42.0
-115.6935982,33.56068843,24.0,65.0
-115.6935642,33.56013782,35.0,56.0
-115.6939667,33.55983662,43.0,50.0
-115.6934376,33.55973591,56.0,44.0
-115.6929385,33.55976915,10.0,87.0
-115.69292,33.5600095,41.0,72.0
-115.6920391,33.56082891,104.0,45.0
-115.693133,33.56077367,1.0,79.0
-115.6932102,33.56090376,69.0,67.0
-115.693053,33.5608759,17.0,58.0
-115.6928621,33.56103079,35.0,69.0
-115.6922666,33.56096482,85.0,76.0
-115.6913469,33.56081378,92.0,73.0
-115.6917302,33.5606741,350.0,66.0
-115.6914622,33.56072606,308.0,34.0
-115.691236,33.56065159,48.0,83.0
-115.6908551,33.56086009,46.0,38.0
-115.6905645,33.56073072,334.0,45.0
-115.690221,33.5605187,48.0,17.0
-115.689834,33.56055235,29.0,42.0
-115.689792,33.56012056,29.0,59.0
-115.6901839,33.55956224,15.0,75.0
-115.6909709,33.55883477,196.0,72.0
-115.6909569,33.55793095,46.0,62.0
-115.6909234,33.55703275,20.0,66.0
-115.6904722,33.55627004,11.0,51.0
-115.6892852,33.55614435,122.0,46.0
