Degrees,P_wave_minutes,P_wave_seconds,S-P_minutes,S-P_seconds,P_decimal_minutes,SP_decimal_minutes,S_decimal_minutes
84.0,12,27.0,10,22.2,12.45,10.37,22.82
85.0,12,32.0,10,27.1,12.5333333333,10.4516666667,22.985
86.0,12,37.0,10,31.9,12.6166666667,10.5316666667,23.1483333333
87.0,12,41.9,10,36.7,12.6983333333,10.6116666667,23.31
88.0,12,46.7,10,41.4,12.7783333333,10.69,23.4683333333
89.0,12,51.4,10,46.1,12.8566666667,10.7683333333,23.625
90.0,12,56.1,10,50.7,12.935,10.845,23.78
91.0,13,0.7,10,55.2,13.0116666667,10.92,23.9316666667
92.0,13,5.4,10,59.5,13.09,10.9916666667,24.0816666667
93.0,13,10.0,11,3.7,13.1666666667,11.0616666667,24.2283333333
94.0,13,14.5,11,7.9,13.2416666667,11.1316666667,24.3733333333
95.0,13,19.1,11,12.0,13.3183333333,11.2,24.5183333333
96.0,13,23.6,11,16.1,13.3933333333,11.2683333333,24.6616666667
97.0,13,28.1,11,20.1,13.4683333333,11.335,24.8033333333
98.0,13,32.6,11,24.1,13.5433333333,11.4016666667,24.945
99.0,13,37.0,11,28.1,13.6166666667,11.4683333333,25.085
100.0,13,41.5,11,32.0,13.6916666667,11.5333333333,25.225
101.0,13,45.9,11,35.8,13.765,11.5966666667,25.3616666667
102.0,13,50.4,11,39.7,13.84,11.6616666667,25.5016666667
103.0,13,54.8,11,43.6,13.9133333333,11.7266666667,25.64
104.0,13,59.2,11,47.5,13.9866666667,11.7916666667,25.7783333333
105.0,14,3.7,11,51.4,14.0616666667,11.8566666667,25.9183333333
