SAMPLE ID,CALCULATED AGE (Ma),CALCULATED MAX AGE,CACLULATED MIN AGE,AGE TECHNIQUE,AGE MINERAL,LATITUDE,LONGITUDE,SIO2
MC59,3.64,3.8,3.48,K-AR,WHOLE ROCK,35.3281,-115.8495,
MC62,0.85,0.9,0.8,K-AR,WHOLE ROCK,35.2095,-115.7061,
MC66,0.24,0.28,0.2,K-AR,WHOLE ROCK,35.1942,-115.8385,
22,12.94,13.24,12.64,K-AR,WHOLE ROCK,35.6944,-115.45,
149,64.7,71.17,58.23,K-AR,BIOTITE,34.3475,-117.9208,
KA 2115,22.48,23.18,21.78,K-AR,PLAGIOCLASE,34.9231,-118.8526,
USGSDH80Cal-147,21.3,23,19.6,K-AR,HORNBLENDE,34.2936,-115.5511,
USGSDH79IM-270,61.3,62.7,59.9,K-AR,MUSCOVITE,34.1492,-115.1925,
28-7,19.8,21.2,18.4,K-AR,PLAGIOCLASE,34.8,-116.3,
11-1A,20,21,19,K-AR,SANIDINE,34.7667,-116.2667,
USGSDKH78-47,18.6,19.2,18,K-AR,SANIDINE,34.7694,-115.1247,
AG-3,20.2,21.5,18.9,K-AR,WHOLE ROCK,34.7745,-116.2424,
USGSDA3-38,11.1,11.4,10.8,K-AR,WHOLE ROCK,34.7833,-116.25,
KA 2217,10.37,11.07,9.67,K-AR,none,35.1449,-120.6453,
KA 2104,15.7,16.2,15.2,K-AR,PLAGIOCLASE,35.2175,-120.6983,
KA 2107,15.7,16.6,14.8,K-AR,PLAGIOCLASE,35.2175,-120.6983,
KA 2108,16.73,17.23,16.23,K-AR,PLAGIOCLASE,35.2175,-120.6983,
KA 2109,15.81,16.31,15.31,K-AR,PLAGIOCLASE,35.2175,-120.6983,
KA 2110,16.94,17.74,16.14,K-AR,PLAGIOCLASE,35.2175,-120.6983,
KA 2114,22.07,22.67,21.47,K-AR,PLAGIOCLASE,34.9262,-118.9539,
KA 2116,14.58,15.18,13.98,K-AR,PLAGIOCLASE,35.0547,-119.7197,
KA 2119,17.24,17.74,16.74,K-AR,PLAGIOCLASE,34.4286,-119.5986,
KA 2120,16.53,17.13,15.93,K-AR,PLAGIOCLASE,34.4286,-119.5986,
KA 2125,14.78,15.58,13.98,K-AR,PLAGIOCLASE,35.0547,-119.7197,
KA 2127,16.53,17.83,15.23,K-AR,PLAGIOCLASE,35.0569,-119.7224,
KA 2133,14.06,15.66,12.46,K-AR,PLAGIOCLASE,33.7919,-117.7512,
KA 2143,16.11,17.01,15.21,K-AR,PLAGIOCLASE,34.0244,-119.586,
KA 2145,14.48,15.48,13.48,K-AR,PLAGIOCLASE,34.3212,-118.5883,
KA 2149R,15.7,16.2,15.2,K-AR,PLAGIOCLASE,35.1017,-120.4867,
KA 2150R,16.63,19.03,14.23,K-AR,PLAGIOCLASE,34.2175,-118.9299,
KA 2162,25.25,28.15,22.35,K-AR,PLAGIOCLASE,34.9262,-118.954,
KA 2167,13.55,13.95,13.15,K-AR,PLAGIOCLASE,33.0056,-118.5527,
KA 2175,22.89,23.59,22.19,K-AR,PLAGIOCLASE,34.942,-119.082,
KA 2213,15.81,17.11,14.51,K-AR,PLAGIOCLASE,33.6315,-117.8399,
KA 2147R,17.45,18.65,16.25,K-AR,WHOLE ROCK,34.6107,-120.2671,
KH78-111,18.1,18.7,17.5,K-AR,WHOLE ROCK,34.6233,-115.0728,
H79Mo-149,20.2,21.2,19.2,K-AR,BIOTITE,34.4236,-114.8097,
H79Mo-157,20,20.7,19.3,K-AR,BIOTITE,34.4547,-114.8275,
1,14.5,18,11,PER_COM,none,35.1167,-115.425,71.52
H79CH-299,18.1,18.7,17.5,K-AR,SANIDINE,34.685,-114.9197,
2,14.5,18,11,PER_COM,none,35.2,-115.3667,75.03
3,14.5,18,11,PER_COM,none,35.2,-115.3333,74.91
4,14.5,18,11,PER_COM,none,35.2,-115.2333,65.66
5,14.5,18,11,PER_COM,none,35.2333,-115.205,69.47
6,14.5,18,11,PER_COM,none,35.1833,-115.2,64.34
7,14.5,18,11,PER_COM,none,35.125,-115.21,74.17
8,14.5,18,11,PER_COM,none,35.1,-115.225,64.44
9,14.5,18,11,PER_COM,none,35.1333,-115.1833,69.74
10,14.5,18,11,PER_COM,none,35.1,-115.3583,46.03
11,14.5,18,11,PER_COM,none,35.1,-115.3583,56.99
1968,62.3,65.7,58.9,K-AR,BIOTITE,33.9217,-115.0425,
2035,55.2,63,47.4,K-AR,BIOTITE,33.93,-114.9422,
2038,60.4,62.5,58.3,K-AR,BIOTITE,33.8842,-114.9006,
CIM8142,1,1.1,0.9,REG-COR,none,35.2333,-115.7167,
CIM8143,0.04,0.044,0.036,REG-COR,none,35.2,-115.8667,
PB34,0,1,0,REG-COR,none,35.1667,-115.8667,48.05
ODC16-11,0,1,0,REG-COR,none,35.1833,-115.7167,
86CS-BRB7,16.3,16.6,16,K-AR,BIOTITE,35.034817,-117.04373,
CIM-8142,1,1.1,0.9,UNKNOWN,none,35.2333,-115.7167,
149,16,18,15,REG-COR,none,34.0499,-119.8204,52.51
148,16,18,15,REG-COR,none,34.0499,-119.8204,53.15
166,16,18,15,REG-COR,none,34.0499,-119.8204,54.25
165,16,18,15,REG-COR,none,34.0499,-119.8204,55.76
CE-10,16,18,15,REG-COR,none,34.0499,-119.8204,55.97
KH-43,16,18,15,REG-COR,none,34.0499,-119.8204,57.24
180,16,18,15,REG-COR,none,34.0499,-119.8204,57.41
SCI-2,16,18,15,REG-COR,none,34.0499,-119.8204,57.99
SCI-1,16,18,15,REG-COR,none,34.0499,-119.8204,58.09
168,16,18,15,REG-COR,none,34.0499,-119.8204,58.94
JS-16,16,18,15,REG-COR,none,34.0499,-119.8204,59.21
177,16,18,15,REG-COR,none,34.0499,-119.8204,59.16
280,16,18,15,REG-COR,none,34.0499,-119.8204,59.37
178,16,18,15,REG-COR,none,34.0499,-119.8204,60.01
279,16,18,15,REG-COR,none,34.0499,-119.8204,60.84
170,16,18,15,REG-COR,none,34.0499,-119.8204,61.69
262,16,18,15,REG-COR,none,34.0499,-119.8204,62.22
187,16,18,15,REG-COR,none,34.0499,-119.8204,64.4
156,16,18,15,REG-COR,none,34.0499,-119.8204,62.34
150,16,18,15,REG-COR,none,34.0499,-119.8204,63.47
155,16,18,15,REG-COR,none,34.0499,-119.8204,66.93
278,16,18,15,REG-COR,none,34.0499,-119.8204,69.17
260,16,18,15,REG-COR,none,34.0499,-119.8204,70.48
GR-135,18,19.8,16.2,RB-SR,none,35.09861,-116.54166,
GR-139,20,22,18,RB-SR,none,35.4625,-114.91389,
GR-140,20,22,18,RB-SR,none,35.455555,-114.91389,
GR-141,20,22,18,RB-SR,none,35.716667,-114.92361,
2,13.5,13.7,13.3,K-AR,BIOTITE,35.17,-117.07,
1,2.55,3.13,1.97,K-AR,WHOLE ROCK,35.14,-117.18,
7,18.1,18.6,17.6,K-AR,HORNBLENDE,35.03,-116.89,
10,23.1,23.3,22.9,K-AR,SANIDINE,35.09,-116.94,
5,16.5,16.9,16.1,K-AR,WHOLE ROCK,35.15,-117.2,
9,18.9,20.2,17.6,K-AR,WHOLE ROCK,35.16,-117.19,
1,3.88,3.97,3.79,K-AR,WHOLE ROCK,35.3398,-115.7589,
1A,3.86,3.98,3.74,K-AR,WHOLE ROCK,35.3398,-115.7589,
1AR,3.83,3.95,3.71,K-AR,WHOLE ROCK,35.3398,-115.7589,
6,0.33,0.38,0.28,K-AR,WHOLE ROCK,35.2567,-115.7185,
2A,7.55,7.72,7.38,K-AR,WHOLE ROCK,35.2301,-115.6822,
