SAMPLE ID,CALCULATED AGE (Ma),CALCULATED MAX AGE,CACLULATED MIN AGE,AGE TECHNIQUE,AGE MINERAL,LATITUDE,LONGITUDE,SIO2
KA 2119,17.2,17.7,16.7,K-AR,PLAGIOCLASE,34.427,-119.603,
KA 2120,16.5,17.1,15.9,K-AR,PLAGIOCLASE,34.427,-119.603,
KA 2125,14.8,15.6,14,K-AR,PLAGIOCLASE,35.05,-119.72,
KA 2126,10.9,15.3,6.5,K-AR,PLAGIOCLASE,35.05,-119.72,
KA 2127,16.5,17.8,15.2,K-AR,PLAGIOCLASE,35.05,-119.72,
KA 2132,20.6,29.4,12.2,K-AR,PLAGIOCLASE,33.794,-117.772,
KA 2133,14.1,15.7,12.5,K-AR,PLAGIOCLASE,33.784,-117.79,
KA 2141R,16.9,18.1,15.7,K-AR,WHOLE ROCK,35.043,-120.476,
KA 2142,25.6,26.8,24.4,K-AR,PLAGIOCLASE,35.3029,-120.691,
KA 2143,16.1,17,15.2,K-AR,PLAGIOCLASE,34.025,-119.5862,
KA 2144R,13.4,14.3,12.5,K-AR,PLAGIOCLASE,34.154,-118.8163,
KA 2145,14.5,15.5,13.5,K-AR,PLAGIOCLASE,34.316,-118.5783,
KA 2147R,17.4,18.6,16.2,K-AR,WHOLE ROCK,34.6124,-120.2665,
KA 2149R,15.7,16.2,15.2,K-AR,PLAGIOCLASE,35.1874,-120.4767,
KA 2150R,16.6,19,14.2,K-AR,PLAGIOCLASE,34.2146,-118.9277,
KA 2153,7.4,8,6.8,K-AR,none,34.1287,-118.4209,
KA 2155,9.4,10.6,8.2,K-AR,none,34.0247,-118.8324,
KA 2158,10,11.9,8.1,K-AR,PLAGIOCLASE,34.2519,-118.8721,
KA 2162,25.2,28.1,22.3,K-AR,PLAGIOCLASE,34.9232,-118.9673,
KA 2164,24.6,31.8,17.4,K-AR,PLAGIOCLASE,34.9798,-119.0938,
KA 2166,22.4,23.1,21.7,K-AR,BIOTITE,34.9232,-118.9673,
KA 2167,13.6,14,13.2,K-AR,PLAGIOCLASE,33.0056,-118.5542,
KA 2170,15.4,16.4,14.4,K-AR,PLAGIOCLASE,32.9994,-118.5594,
KA 2175,22.9,23.6,22.2,K-AR,BIOTITE,34.9374,-119.0927,
KA 2213,15.8,17.1,14.5,K-AR,PLAGIOCLASE,33.6329,-117.8507,
KA 2215,18.1,25.7,10.5,K-AR,PLAGIOCLASE,34.9369,-119.0702,
KA 2217,10.4,11.1,9.7,K-AR,none,35.1482,-120.6218,
KA 2218,9.2,9.7,8.7,K-AR,PLAGIOCLASE,33.953,-117.864,
KA 2166,22.4,23.1,21.7,K-AR,BIOTITE,34.9232,-118.9673,
May-86,23.5,24.1,22.9,STRAT,none,32.9633,-114.6183,62.21
May-68,23.5,24.1,22.9,STRAT,none,32.9817,-114.6333,65.31
1-Jul,24,27,21,REG-COR,none,33.02,-114.6367,74.69
3-BC2,24,27,21,REG-COR,none,33.0233,-114.6617,70.92
May-54,24,27,21,REG-COR,none,32.9667,-114.6583,71.82
May-46,24,27,21,REG-COR,none,33.0283,-114.63,71.92
3-31x,21.8,22.4,21.2,STRAT,none,33.02,-114.6333,67.74
3-31Y,21.8,22.4,21.2,STRAT,none,33.02,-114.6333,68.29
May-53,21.8,22.4,21.2,STRAT,none,32.9667,-114.6583,70.89
8-Feb,24,27,21,REG-COR,none,32.93,-114.6333,63.42
3-22x,24,27,21,REG-COR,none,32.9733,-114.6517,61.19
OH-87-10,6.31,6.52,6.1,K-AR,BIOTITE,35.6381,-116.6936,
Feb-65,24,27,21,REG-COR,none,32.9467,-114.6317,63.99
Pp-33,24,27,21,REG-COR,none,32.9433,-114.6317,65.22
OHS-2,8.49,8.73,8.25,K-AR,BIOTITE,35.6381,-116.6936,
20-Mar,24,27,21,REG-COR,none,32.9683,-114.6683,63.78
May-73,24,27,21,REG-COR,none,32.97,-114.6617,64.82
OHS-1,7.68,7.86,7.5,K-AR,WHOLE ROCK,35.6381,-116.6936,
5-Feb,25.7,27.3,24.1,STRAT,none,32.8883,-114.62,59.87
BSW-1,8.99,9.2,8.78,K-AR,BIOTITE,35.0094,-115.9917,
PP4-1,13.1,16.6,10.6,STRAT,none,33.02,-114.7728,51.5
BM-88-6B,26,26.6,25.4,K-AR,HORNBLENDE,35.0167,-116.0089,
3-61D,13.1,16.6,10.6,STRAT,none,33.02,-114.7728,51.5
BM-88-13,26.7,27.3,26.1,K-AR,FELDSPAR,35.0056,-116.0172,
JP84PR-96,13.3,13.6,13,K-AR,BIOTITE,35.2333,-115.0264,
Ca84PR-33a,8,8.6,7.4,K-AR,WHOLE ROCK,35.2931,-115.0375,
JN86-PR-3,10.2,10.9,9.5,K-AR,WHOLE ROCK,35.2716,-114.9708,
CA84PR-39,10.7,11,10.4,K-AR,WHOLE ROCK,35.32,-115.0289,
JP84PR-93,12.2,12.5,11.9,K-AR,WHOLE ROCK,35.2167,-115.0306,
JN86PR-2,12.4,13.8,11,K-AR,WHOLE ROCK,35.2717,-114.9953,
CA84PR-70a,12.7,13.5,11.9,K-AR,WHOLE ROCK,35.2,-115.0183,
JN84PR-6,19.8,20.3,19.3,K-AR,WHOLE ROCK,35.0919,-114.9839,
M84LH-106,22.1,22.7,21.5,K-AR,BIOTITE,34.6439,-115.9597,63.8
M82BR-27,22.4,22.7,22.1,K-AR,BIOTITE,34.6586,-115.9261,
M80BR-85,20.1,20.6,19.6,K-AR,BIOTITE,34.5914,-115.7494,
M8BRR-41,18,18.5,17.5,K-AR,FELDSPAR,34.7606,-115.8331,
M82BR-34,25.1,33.5,16.7,K-AR,PLAGIOCLASE,34.7342,-115.9283,
BH82BR-28,16.2,18.1,14.3,K-AR,PLAGIOCLASE,34.7269,-115.8469,
M80BR-85,19.6,19.9,19.3,K-AR,SANIDINE,34.5914,-115.7494,
M81LH-58,22.1,23.4,20.8,K-AR,WHOLE ROCK,34.6742,-115.9433,
M82BR-103,17,17.7,16.3,K-AR,WHOLE ROCK,34.6886,-115.8083,
M82BR-21,17.4,18.2,16.6,K-AR,WHOLE ROCK,34.7161,-115.9261,
JP82TM-128,19.5,20,19,K-AR,BIOTITE,34.3958,-114.7892,
RT83TM-100,19.7,20.2,19.2,K-AR,BIOTITE,34.3925,-114.7906,
JP82TM-94c,20,20.5,19.5,K-AR,HORNBLENDE,34.4175,-114.8225,
JP83TM-127,16,16.4,15.6,K-AR,PLAGIOCLASE,34.4083,-114.8458,
BH82TM-86b,17,17.4,16.6,K-AR,WHOLE ROCK,34.4444,-114.8083,
C-2,0.7,0.76,0.64,REG-COR,none,35.2016,-115.7262,48.96
C-5,0.13,0.19,0.07,REG-COR,none,35.2008,-115.755,49.08
C-7,0.14,0.18,0.1,REG-COR,none,35.2011,-115.7571,48.68
C-8A,0.5,0.53,0.47,REG-COR,none,35.2014,-115.7296,49.28
C-8L,0.5,0.53,0.47,REG-COR,none,35.2014,-115.7296,48.9
C-11,0.5,0.53,0.47,REG-COR,none,35.2021,-115.7299,48.89
C-15,0.5,0.53,0.47,REG-COR,none,35.2009,-115.7342,49.74
C-17,0.99,1.06,0.86,REG-COR,none,35.1994,-115.7398,48.99
PD-1,17.2,18.1,16.3,K-AR,WHOLE ROCK,33.448612,-114.87,
PD-2,17.2,18.1,16.3,K-AR,WHOLE ROCK,33.43778,-114.8775,
PD-4,24.1,25.1,23.1,K-AR,BIOTITE,33.433056,-114.86472,
PD-5,26.9,28.3,25.5,K-AR,WHOLE ROCK,33.38139,-114.86889,
C-19,0.5,0.53,0.47,REG-COR,none,35.2034,-115.7463,47.98
C-22,0.47,0.52,0.42,REG-COR,none,35.2017,-115.7603,48.75
CX-2,0.5,0.53,0.47,REG-COR,none,35.2005,-115.7286,50.06
1121-2,18.5,22.5,14.5,REG-COR,none,34.3678,-114.7741,65
MC76,0.15,0.21,0.09,K-AR,WHOLE ROCK,35.2535,-115.7932,
CX-3,0.5,0.53,0.47,REG-COR,none,35.2022,-115.7286,50.3
HSV1,16.1,16.4,15.8,STRAT,none,35,-115.25,67.3
HSV2a,16.1,16.4,15.8,STRAT,none,35,-115.25,61.2
HSV4,16.1,16.4,15.8,STRAT,none,35,-115.25,66
HSVI,16.1,16.4,15.8,STRAT,none,35,-115.25,65.6
HSV5,16.1,16.4,15.8,STRAT,none,35,-115.25,69.6
HSV6,16.1,16.4,15.8,STRAT,none,35,-115.25,65.7
HSV7a,16.1,16.4,15.8,STRAT,none,35,-115.25,73
Tatg,18.5,22.5,14.5,REG-COR,none,34.3145,-114.781,60.5
HSV7b,16.1,16.4,15.8,STRAT,none,35,-115.25,71.7
HSV7c,16.1,16.4,15.8,STRAT,none,35,-115.25,74.1
1213-4,18.5,22.5,14.5,REG-COR,none,34.3156,-114.7746,55.69
R1,15.8,17.38,14.22,STRAT,none,35,-115.25,69.7
R49,15.8,17.38,14.22,STRAT,none,35,-115.25,74.1
R89,15.8,17.38,14.22,STRAT,none,35,-115.25,74.8
R112,15.8,17.38,14.22,STRAT,none,35,-115.25,76.3
T130,15.8,17.38,14.22,STRAT,none,35,-115.25,60.7
A158,15.8,17.38,14.22,STRAT,none,35,-115.25,72.6
A159,15.8,17.38,14.22,STRAT,none,35,-115.25,71.8
A160,15.8,17.38,14.22,STRAT,none,35,-115.25,67.9
R161,15.8,17.38,14.22,STRAT,none,35,-115.25,70.9
R164,15.8,17.38,14.22,STRAT,none,35,-115.25,73.8
R167,15.8,17.38,14.22,STRAT,none,35,-115.25,73.1
R169,15.8,17.38,14.22,STRAT,none,35,-115.25,73.7
R170,15.8,17.38,14.22,STRAT,none,35,-115.25,75.5
R179,15.8,17.38,14.22,STRAT,none,35,-115.25,74.4
R190,15.8,17.38,14.22,STRAT,none,35,-115.25,71.8
R201,15.8,17.38,14.22,STRAT,none,35,-115.25,75
R212,15.8,17.38,14.22,STRAT,none,35,-115.25,74.7
124-4,18.5,22.5,14.5,REG-COR,none,34.3058,-114.7723,70.4
R214,15.8,17.38,14.22,STRAT,none,35,-115.25,71.9
T205,15.8,17.38,14.22,STRAT,none,35,-115.25,67.2
T208,15.8,17.38,14.22,STRAT,none,35,-115.25,67.4
Flows,15.8,17.38,14.22,STRAT,none,35,-115.25,75.8
Plugs,15.8,17.38,14.22,STRAT,none,35,-115.25,74.9
73814,10,10.6,9.4,K-AR,none,35,-115.25,57
7382,10.6,11.66,9.54,STRAT,none,35,-115.25,46
73723,10.6,11.66,9.54,STRAT,none,35,-115.25,47.9
DCB4,23,24,22,AR_AR,none,34.94,-118.84,
DCB5,22.3,23,21.6,AR_AR,none,34.94,-118.84,
DCB13,22.9,23.8,22,AR_AR,none,34.95,-118.83,
124-3,18.5,22.5,14.5,REG-COR,none,34.3007,-114.7674,61.5
OD-C16.11,10.5,11.55,9.45,UNKNOWN,none,35.1833,-115.7167,48.79
45-3,18.5,22.5,14.5,REG-COR,none,34.2973,-114.7688,53.1
119-3,18.5,22.5,14.5,REG-COR,none,34.293,-114.7645,62
8-194-6,3.3,3.74,2.86,REG-COR,none,35.1558,-117.7877,52
LO10D6,17.5,18,17,REG-COR,none,34.87,-120.62,68.89
LO7D4,17.5,18,17,REG-COR,none,34.88,-120.62,74.06
LO8D6,17.5,18,17,REG-COR,none,34.88,-120.62,76.15
1TQ2,17.5,18,17,REG-COR,none,34.58,-120.56,77.1
2TQ2,17.5,18,17,REG-COR,none,34.59,-120.59,77.28
1TQ4,17.5,18,17,REG-COR,none,34.58,-120.56,78.32
OBSB2,17.5,18,17,REG-COR,none,35.18,-120.71,66.29
OBOR1,17.5,18,17,REG-COR,none,35.22,-120.68,55.45
OBTD1,17.5,18,17,REG-COR,none,34.98,-120.32,68.15
TQSR1,17.5,18,17,REG-COR,none,34.61,-120.26,53.92
TQSR2,17.5,18,17,REG-COR,none,34.61,-120.26,52.78
LOPS1,17.5,18,17,REG-COR,none,34.89,-120.64,47.64
LM1,17.5,18,17,REG-COR,none,35.26,-120.55,43.56
CB3,17.5,18,17,REG-COR,none,34.76,-119.98,46.7
CB5,17.5,18,17,REG-COR,none,34.76,-119.98,47.16
CB7,17.5,18,17,REG-COR,none,34.76,-119.98,46.24
OBSM1,17.5,18,17,REG-COR,none,34.99,-120.4,48.13
OBSM2,17.5,18,17,REG-COR,none,34.99,-120.4,47.68
MR3,23,25,21,REG-COR,none,35.32,-120.73,67.49
NV25,23,25,21,REG-COR,none,34.75,-118.55,70.2
NV31,23,25,21,REG-COR,none,34.75,-118.55,68.3
VQ1,23,25,21,REG-COR,none,34.49,-118.29,58.24
PR3-55,23,25,21,REG-COR,none,34.78,-119.09,48
PR3-72,23,25,21,REG-COR,none,34.78,-119.09,47.09
AC1,23,25,21,REG-COR,none,35.18,-120.21,50.5
G49A,17.1,17.6,16.6,K-AR,WHOLE ROCK,35.4757,-117.8412,48.5
G49C,15.1,15.6,14.6,K-AR,WHOLE ROCK,35.4755,-117.8417,49.5
EP302A,17.9,19.5,16.3,K-AR,WHOLE ROCK,35.476,-117.8417,48.3
EP301B,16.6,18.5,14.7,K-AR,WHOLE ROCK,35.4897,-117.864,49.1
EP103A,17.2,18,16.4,K-AR,WHOLE ROCK,35.4583,-117.8973,56.6
G48B,14,14.4,13.6,K-AR,PLAGIOCLASE,35.4188,-117.9242,
EP208A,18.1,19.3,16.9,K-AR,WHOLE ROCK,35.459,-117.8938,59.9
EP111A,17.3,17.8,16.8,K-AR,WHOLE ROCK,35.4258,-117.907,49.1
BN-164-2,18,19.8,16.2,STRAT,none,35.4672,-117.8767,69.8
BN-150-3,18,19.8,16.2,STRAT,none,35.4723,-117.8867,63.6
EP104A,18,19.8,16.2,STRAT,none,35.4583,-117.897,72.5
EP110A,18,19.8,16.2,STRAT,none,35.483,-117.8577,53.2
BN-171-3,18,19.8,16.2,STRAT,none,35.4853,-117.8937,57.1
EP-2,18,19.8,16.2,STRAT,none,35.5355,-117.8863,49.6
H70Mo-157,20,20.7,19.3,K-AR,BIOTITE,34.2852,-114.8496,
H79Mo-149,20.2,21.2,19.2,K-AR,BIOTITE,34.3957,-114.8114,
H81ST-134,19.9,20.4,19.4,K-AR,PLAGIOCLASE,34.573,-114.84,
JP82TM-128,19.3,19.8,18.8,K-AR,HORNBLENDE,34.3958,-114.7892,
JP82TM-94c,19.97,20.47,19.47,K-AR,HORNBLENDE,34.4175,-114.8225,
RT83TM-100,21.2,22.3,20.1,K-AR,HORNBLENDE,34.3925,-114.7906,
JP83TM-127,16.2,16.6,15.8,K-AR,PLAGIOCLASE,34.4083,-114.8458,
H83TM-88,19.4,19.9,18.9,K-AR,WHOLE ROCK,34.138,-114.818,
H83TM-158,20.4,20.9,19.9,K-AR,WHOLE ROCK,34.138,-114.818,
K-38-3,20.4,21.6,19.2,K-AR,WHOLE ROCK,34.138,-114.818,
K-38-4,20.3,20.5,20.1,K-AR,WHOLE ROCK,34.138,-114.818,
K-38-5,20.8,21.6,20,K-AR,WHOLE ROCK,34.138,-114.818,
KH78-111,18.1,18.7,17.5,K-AR,WHOLE ROCK,34.617,-114.913,
H81ST-132,21.2,21.7,20.7,K-AR,WHOLE ROCK,34.573,-114.84,
BH82TM-86b,16.9,17.3,16.5,K-AR,WHOLE ROCK,34.4444,-114.8083,
119-2,18.5,22.5,14.5,REG-COR,none,34.3654,-114.7728,66.8
1130-2,18.5,22.5,14.5,REG-COR,none,34.3573,-114.7978,66.6
42-4,18.5,22.5,14.5,REG-COR,none,34.3253,-114.8224,45.24
125-3,18.5,22.5,14.5,REG-COR,none,34.3252,-114.7904,45.65
125-4,18.5,22.5,14.5,REG-COR,none,34.3226,-114.7831,62.25
1213-1,18.5,22.5,14.5,REG-COR,none,34.3263,-114.7707,50.3
1212-1,18.5,22.5,14.5,REG-COR,none,34.3165,-114.7805,56.86
128,61.4,83.5,39.3,AR_AR,HORNBLENDE,32.9038,-116.8181,
C84-40,0.48,0.59,0.37,K-AR,PLAGIOCLASE,35.2583,-115.7167,
C84-41,0.23,0.31,0.15,K-AR,PLAGIOCLASE,35.2583,-115.7167,
LM-37 Biotite,23,23.5,22.5,AR_AR,BIOTITE,34.9269,-116.9289,
LM-38 Biotite,21.3,21.8,20.8,AR_AR,BIOTITE,34.9269,-116.9289,
MH92-2 Biotite,21.7,22.2,21.2,AR_AR,BIOTITE,35.0397,-117.0056,
MH92-3 Biotite,21.4,21.9,20.9,AR_AR,BIOTITE,35.0397,-117.0036,
WH-10 Biotite,21.7,22.2,21.2,AR_AR,BIOTITE,34.9611,-117.0375,
WHG-14 Biotite,20,20.3,19.7,AR_AR,BIOTITE,34.8336,-117.0369,
BARS-B Biotite,21.8,22.3,21.3,AR_AR,BIOTITE,34.8775,-117.0969,
BOXC-26 Biotite,24.4,24.7,24.1,AR_AR,BIOTITE,34.6869,-116.525,
GD-1Biotite,20.9,21.2,20.6,AR_AR,BIOTITE,34.9047,-117.0794,
MH91-1 K-Spar,22.4,22.8,22,AR_AR,K-FELDSPAR,35.0428,-117.0056,
GH-52 Plagioclase,23.8,24.3,23.3,AR_AR,PLAGIOCLASE,35.2167,-117.3644,
ROD3.19 Plagioclase,23.1,23.7,22.5,AR_AR,PLAGIOCLASE,34.6922,-116.5114,
Buttes-51,21.9,23.3,20.5,U-PB CONCORDIA,ZIRCON,35.0878,-117.4183,
BAR9020A Biotite,20,24,16,U-PB CONCORDIA,ZIRCON,34.8775,-117.0969,
Buttes-50,22,25.8,18.2,U-PB CONCORDIA,ZIRCON,35.0658,-117.3925,
86CS-BCC1,15.88,15.94,15.82,AR_AR,SANIDINE,35.034817,-117.04373,
CS8307,15.5,15.58,15.42,K-AR,BIOTITE,35.034817,-117.04373,
RHT1348,14.8,14.95,14.65,K-AR,BIOTITE,35.034817,-117.04373,
RHT1343,13.3,14,12.6,K-AR,BIOTITE,35.059902,-117.07884,
CS8309,14,14.09,13.91,AR_AR,BIOTITE,35.059902,-117.07884,
DES7017,13.54,14.01,13.06,K-AR,PLAGIOCLASE,35.05615,-117.06931,
87CS-BRB8,19.31,19.33,19.29,AR_AR,BIOTITE,35.034817,-117.04373,
86CS-RB7,17.72,19.12,16.32,AR_AR,BIOTITE,35.034817,-117.04373,
86CS-BRB4,15.85,15.89,15.81,AR_AR,SANIDINE,35.034817,-117.04373,
KA449,14.81,14.87,14.75,AR_AR,BIOTITE,35.034817,-117.04373,
ALVO-3,20,22,18,REG-COR,none,35.064,-116.5454,48.7
NPBS-6,20,22,18,REG-COR,none,34.4957,-116.1492,48.9
SADL-1,20,22,18,REG-COR,none,35.0595,-117.6253,49.1
3-Dec,20,22,18,REG-COR,none,34.7817,-116.2442,50
LUDL-C,20,22,18,REG-COR,none,34.7063,-116.2106,51.7
Nov-90,20,22,18,REG-COR,none,34.767,-116.284,52.7
MARB-522-23,20,22,18,REG-COR,none,34.6801,-115.639,52.7
MARB-522-22,20,22,18,REG-COR,none,34.681,-115.6381,53
13-22,20,22,18,REG-COR,none,34.7724,-116.2432,53.1
MARB-522-9,20,22,18,REG-COR,none,34.6822,-115.6424,53.1
77032,20,22,18,REG-COR,none,34.755,-116.2186,55.3
BRST-11,20,22,18,REG-COR,none,34.807,-116.006,55.7
LVLK-2,20,22,18,REG-COR,none,34.6717,-116.2901,56.4
OLDD-2,20,22,18,REG-COR,none,34.7431,-115.7548,56.9
A5-2,20,22,18,REG-COR,none,34.8188,-117.5378,57.4
ALVO-1A,20,22,18,REG-COR,none,35.0705,-116.5735,57.7
KRMR-1,20,22,18,REG-COR,none,34.8994,-117.5116,59.3
LUDL-B,20,22,18,REG-COR,none,34.7036,-116.2075,59.7
BRST-2,20,22,18,REG-COR,none,34.8507,-116.093,59.9
A5-3,20,22,18,REG-COR,none,34.8209,-117.5346,60
A2-5,20,22,18,REG-COR,none,34.689,-116.1783,60.1
82-16,20,22,18,REG-COR,none,34.8307,-116.3154,60.8
A5-1,20,22,18,REG-COR,none,34.8182,-117.5325,61.7
AG-2,20,22,18,REG-COR,none,34.7745,-116.2424,63.2
AG-13,20,22,18,REG-COR,none,34.7607,-116.231,63.6
82-22A,20,22,18,REG-COR,none,34.825,-116.3085,64.1
5-Oct,20,22,18,REG-COR,none,34.79,-116.2401,64.3
22-10A,20,22,18,REG-COR,none,34.7841,-116.2161,64.3
LVHL-2,20,22,18,REG-COR,none,34.645,-115.9625,65.8
SODA-2,20,22,18,REG-COR,none,35.1438,-116.2085,65.8
LVHL-1,20,22,18,REG-COR,none,34.6615,-115.9726,66.2
LVLK-1,20,22,18,REG-COR,none,34.5895,-116.3079,66.8
82-25,20,22,18,REG-COR,none,34.8098,-116.3182,68.3
25-13,20,22,18,REG-COR,none,34.7868,-116.3021,68.8
A4-2,20,22,18,REG-COR,none,34.8055,-116.6698,69.1
BARS-2,20,22,18,REG-COR,none,34.8768,-116.89,69.5
LUDL-D,20,22,18,REG-COR,none,34.6925,-116.2007,69.7
MARB-5,20,22,18,REG-COR,none,34.7036,-115.6766,70.4
MARB-2,20,22,18,REG-COR,none,34.6683,-115.6412,71.9
LNMT-2,20,22,18,REG-COR,none,35.088,-116.9426,72.8
A2-3,20,22,18,REG-COR,none,34.6938,-116.1906,73.5
MARB-522-24,20,22,18,REG-COR,none,34.6854,-115.6498,73.6
C8470,8,8.8,7.2,REG-COR,none,35.2,-115.0183,59.4
68T,11.9,23.8,0,REG-COR,none,35.3125,-115.0625,54.2
J833,10.7,11.77,9.63,REG-COR,none,35.0625,-114.9375,49.8
178T,18.5,20.35,16.65,REG-COR,none,35.3203,-115.0639,74.6
141aT,33.4,65,1.8,REG-COR,none,35.3125,-115.0625,73.6
143aT,33.4,65,1.8,REG-COR,none,35.3125,-115.0625,73.8
143bT,33.4,65,1.8,REG-COR,none,35.3125,-115.0625,76.5
159T,33.4,65,1.8,REG-COR,none,35.3125,-115.0625,78
126T,10.7,11.77,9.63,REG-COR,none,35.3125,-115.0625,61.1
J8510,18.65,20.515,16.785,REG-COR,none,35.3125,-114.9375,73.8
J8491,10.7,11.77,9.63,REG-COR,none,35.1875,-115.0625,63.6
J8493,10.7,11.77,9.63,REG-COR,none,35.2167,-115.0306,57.2
J8496,10.7,11.77,9.63,REG-COR,none,35.2333,-115.0264,68.8
J8318,10.7,11.77,9.63,REG-COR,none,35.0625,-114.9375,67.8
C84107,10.7,11.77,9.63,REG-COR,none,35.1875,-114.9375,59.7
J84134,8,8.8,7.2,REG-COR,none,35.0625,-114.9375,65.8
J866,8,8.8,7.2,REG-COR,none,35.0919,-114.9731,56.2
J857,8,8.8,7.2,REG-COR,none,35.3125,-114.9375,61.9
J861,8,8.8,7.2,REG-COR,none,35.3125,-114.9375,65.6
J862,8,8.8,7.2,REG-COR,none,35.2717,-114.9839,56.7
J863,8,8.8,7.2,REG-COR,none,35.2717,-114.9953,53.3
C84101,8,8.8,7.2,REG-COR,none,35.1875,-114.9375,58.3
J8527,8,8.8,7.2,REG-COR,none,35.1875,-114.9375,58.7
J84123b,33.4,65,1.8,REG-COR,none,35.0625,-114.9375,56.3
J84124,33.4,65,1.8,REG-COR,none,35.1875,-114.9375,67.7
C8429,8,8.8,7.2,REG-COR,none,35.3125,-115.0625,58.5
C8433,8,8.8,7.2,REG-COR,none,35.2931,-115.0375,61.9
C8439,10.7,11.77,9.63,REG-COR,none,35.32,-115.0289,49.3
C8442,8,8.8,7.2,REG-COR,none,35.3125,-115.0625,62.2
C8486,12.8,14.08,11.52,REG-COR,none,35.3125,-115.0625,75.2
J8481,8,8.8,7.2,REG-COR,none,35.3125,-115.0625,60
J8484,10.7,11.77,9.63,REG-COR,none,35.3125,-115.0625,61.6
J84109a,8,8.8,7.2,REG-COR,none,35.3125,-115.0625,62.1
J84CMP,10.7,11.77,9.63,REG-COR,none,35.3125,-115.0625,53.7
138T,12.8,14.08,11.52,REG-COR,none,35.3642,-115.0667,
J901,14.4,15.84,12.96,REG-COR,none,35.2817,-115.09,
J903,14.4,15.84,12.96,REG-COR,none,35.2822,-115.0922,
J8446,18.5,18.83,18.75,REG-COR,none,35.2969,-115.0731,
S901,14.7,27.9,7.1,REG-COR,none,35.3258,-115.2319,
J9081,21.4,26.9,15.9,REG-COR,none,35.3489,-115.1247,
25,1.2,1.5,0.9,REG-COR,none,34.3036,-119.3467,76.98
24,1.2,1.5,0.9,REG-COR,none,34.3028,-119.3042,77.23
LM96-2,7.81,7.95,7.67,AR_AR,BIOTITE,35.4333,-117.4667,
LM96-15,10.73,10.83,10.63,AR_AR,BIOTITE,35.4333,-117.4667,
LM96-16,7.82,8.03,7.61,AR_AR,BIOTITE,35.4333,-117.4667,
LM96-17,9.11,11.07,7.15,AR_AR,HORNBLENDE,35.4333,-117.4667,
LM1132,6.4,6.5,6.3,AR_AR,BIOTITE,35.4333,-117.4667,
GFZ-85,11.7,11.9,11.5,AR_AR,SANIDINE,35.4333,-117.4667,
93SgFl-1a,3.45,4,2.9,K-AR,none,35.3186,-116.6892,
22,1.2,1.5,0.9,FT,none,34.3281,-118.9769,77.32
93SgFl-2,3.4,3.6,3.2,K-AR,BIOTITE,35.3183,-116.6428,
93SgFl-8,14.5,15.1,13.9,K-AR,none,35.2839,-116.6842,
19-H,17.3,18.5,16.1,STRAT,none,35.32472,-115.07806,52.7
8-H,17.3,18.5,16.1,STRAT,none,35.32472,-115.07806,61.2
CA_4,8,17,0,REG-COR,none,35,-118,47.8
151B-T,12,15,10,STRAT,none,35.32472,-115.07806,61.8
183-T,14,16,12,STRAT,none,35.32472,-115.07806,77.2
11-T,17.3,18.5,16.1,STRAT,none,35.32472,-115.07806,52.8
62-T,16.1,16.5,15.7,K-AR,BIOTITE,35.3653,-115.0561,70.4
139-T,15.25,16.1,14.4,STRAT,none,35.32472,-115.07806,47.5
122-T,15.25,16.1,14.4,STRAT,none,35.3208,-115.0475,48.7
137-T,14.4,14.6,14.2,K-AR,BIOTITE,35.3575,-115.085,71.9
140-T,12.8,14.08,11.52,STRAT,none,35.3492,-115.0819,68.1
40-T,17.3,18.5,16.1,STRAT,none,35.32472,-115.07806,52.1
24-H,14,16,12,STRAT,none,35.32472,-115.07806,74.9
71-T,14,16,12,STRAT,none,35.32472,-115.07806,74.9
351-T,12.8,12.8,12.8,STRAT,none,35.32472,-115.07806,65.4
353-T,12.8,12.8,12.8,STRAT,none,35.32472,-115.07806,58.9
178-T,18.5,19,18,K-AR,BIOTITE,35.3203,-115.055,74.6
759C,57.4,58.2,56.6,K-AR,BIOTITE,35.4461,-116.3131,
759F,48.6,49.8,47.4,K-AR,BIOTITE,35.4461,-116.3131,
1877,20.9,21.1,20.7,K-AR,BIOTITE,35.5044,-116.3408,
1859,12,12.1,11.9,K-AR,WHOLE ROCK,35.5125,-116.4858,
1861,13.1,13.2,13,K-AR,WHOLE ROCK,35.5239,-116.3458,
140,11.9,12.5,11.3,K-AR,WHOLE ROCK,35.6014,-116.5125,
91-5d,19.9,21.89,17.91,REG-COR,none,34.7467,-116.2422,57.5
91-9,14,14.5,13.5,K-AR,WHOLE ROCK,35.0933,-114.9867,55.3
91-12,14,14.5,13.5,K-AR,WHOLE ROCK,35.1133,-114.9667,53.6
91-47,15,16.5,13.5,REG-COR,none,35.6967,-116.82,55.9
B279,35.7,39.27,32.13,RB-SR,none,33.5216,-116.4662,
B280,35.7,39.27,32.13,RB-SR,none,33.5221,-116.4313,
B281,35.7,39.27,32.13,RB-SR,none,33.4962,-116.4301,
137,28.6,54.3,2.9,AR_AR,PLAGIOCLASE,32.7302,-116.5756,
JF-94-79,12.79,13.01,12.57,AR_AR,none,35.6517,-115.0136,
JF-94-82,15,15.03,14.97,AR_AR,SANIDINE,35.6172,-114.9992,
JF-96-45,15.21,15.25,15.17,AR_AR,SANIDINE,35.6161,-114.9994,
JF-94-80,16.03,16.1,15.96,AR_AR,none,35.6278,-115.0067,
