'ID,Soil order,Topsoil or Subsoil,Kaolinite ,Smectite ,Vermiculite,Illite /Mica,Chlorite,Quartz ,Arophane,Gibbsite,Fe oxide,Others,Reference
53,Andosol,T,16,5,13,15,19,0,31,1,0,0,Nishibori Y et al. (2009) Characterization and grouping of paddy soils in Shiga Prefecture with reference to clay minerals and microbial biomass. Bull. Shiga Pref. Agric. Tech. Prom. Center. 48:25_52.
54,Andosol,T,5,0,23,45,0,0,27,0,0,0,Nishibori Y et al. (2009) Characterization and grouping of paddy soils in Shiga Prefecture with reference to clay minerals and microbial biomass. Bull. Shiga Pref. Agric. Tech. Prom. Center. 48:25_52.
55,Andosol,T,20.60606061,0,22.66666667,4.121212121,20.60606061,0,32,0,0,0,Fukushima Agricultural Technlogy Center (2012)
56,Andosol,T,0,0,20,0,2,9,60,0,0,9,"Parfitt RL, Theng BKG, Whitton JS, Shepherd TG (1997) Effects of clay minerals and land use on organic matter pools. Geoderma 75:1-12."
57,Andosol,T,46.00634921,0,0,0,0,0,15,9.923809524,0,29.06984127,"Takahashi T, Dahlgren R, van Susteren P (1993) Clay mineralogy and chemistry of soils formed in volcanic materials in the xeric moisture regime of northern California. Geoderma 59:131_150."
58,Andosol,S,70.67878788,0,0,0,0,0,4.333333333,12.18787879,0,12.8,"Takahashi T, Dahlgren R, van Susteren P (1993) Clay mineralogy and chemistry of soils formed in volcanic materials in the xeric moisture regime of northern California. Geoderma 59:131_150."
59,Andosol,T,73.33333333,0,0,0,0,0,23,0,0,3.666666667,"Takahashi T, Dahlgren R, van Susteren P (1993) Clay mineralogy and chemistry of soils formed in volcanic materials in the xeric moisture regime of northern California. Geoderma 59:131_150."
60,Andosol,S,67.82857143,0,0,0,0,0,30.8,0,0,1.371428571,"Takahashi T, Dahlgren R, van Susteren P (1993) Clay mineralogy and chemistry of soils formed in volcanic materials in the xeric moisture regime of northern California. Geoderma 59:131_150."
61,Andosol,T,69.52380952,0,0,0,0,0,27,0,0,3.476190476,"Takahashi T, Dahlgren R, van Susteren P (1993) Clay mineralogy and chemistry of soils formed in volcanic materials in the xeric moisture regime of northern California. Geoderma 59:131_150."
62,Andosol,S,42.17948718,0,0,0,0,0,41.66666667,13.46153846,0,2.692307692,"Takahashi T, Dahlgren R, van Susteren P (1993) Clay mineralogy and chemistry of soils formed in volcanic materials in the xeric moisture regime of northern California. Geoderma 59:131_150."
63,Andosol,T,66.92307692,0,0,0,0,0,4,24.23076923,0,4.846153846,"Takahashi T, Dahlgren R, van Susteren P (1993) Clay mineralogy and chemistry of soils formed in volcanic materials in the xeric moisture regime of northern California. Geoderma 59:131_150."
64,Andosol,S,57,0,0,0,0,0,8.8,28.5,0,5.7,"Takahashi T, Dahlgren R, van Susteren P (1993) Clay mineralogy and chemistry of soils formed in volcanic materials in the xeric moisture regime of northern California. Geoderma 59:131_150."
65,Andosol,T,59.80769231,0,0,0,0,0,14,21.82692308,0,4.365384615,"Takahashi T, Dahlgren R, van Susteren P (1993) Clay mineralogy and chemistry of soils formed in volcanic materials in the xeric moisture regime of northern California. Geoderma 59:131_150."
66,Andosol,S,76.20833333,0,0,0,0,0,4.75,17.60416667,0,1.4375,"Takahashi T, Dahlgren R, van Susteren P (1993) Clay mineralogy and chemistry of soils formed in volcanic materials in the xeric moisture regime of northern California. Geoderma 59:131_150."
67,Aridisol,T,2.43902439,12.19512195,0,48.7804878,0,24.3902439,0,0,0,12.19512195,"Bouza PJ, Sim_n M, Aguilar J, del Valle H, Rostagno M (2007) Fibrous-clay mineral formation and soil evolution in Aridisols of northeastern Patagonia, Argentina. Geoderma 139:38_50."
68,Aridisol,T,2.777777778,13.88888889,0,55.55555556,0,13.88888889,0,0,0,13.88888889,"Bouza PJ, Sim_n M, Aguilar J, del Valle H, Rostagno M (2007) Fibrous-clay mineral formation and soil evolution in Aridisols of northeastern Patagonia, Argentina. Geoderma 139:38_50."
69,Aridisol,T,12.5,25,0,25,0,25,0,0,0,12.5,"Bouza PJ, Sim_n M, Aguilar J, del Valle H, Rostagno M (2007) Fibrous-clay mineral formation and soil evolution in Aridisols of northeastern Patagonia, Argentina. Geoderma 139:38_50."
70,Aridisol,T,0,21.73913043,0,14.49275362,21.73913043,8.695652174,0,0,0,33.33333333,"Owliaie HR, Abtahi A, Heck RJ (2006) Pedogenesis and clay mineralogical investigation of soils formed on gtpsiferous and calcareous materials, on a transect, southwestern Iran. Geoderma 134:62_81."
71,Leptosol-Entisol,T,8.356290174,6.565656566,15.33516988,67.90633609,1.836547291,0,0,0,0,0,"Mavris C, Pl_tze M, Mirabella A, Giaccai D, Valboa G, Egli M (2011) Clay mineral evolution along a soil chronosequence in an Alpine proglacial area. Geoderma 165:106_117."
72,Leptosol-Entisol,T,4.339440694,9.305689489,31.09932498,53.90549662,1.350048216,0,0,0,0,0,"Mavris C, Pl_tze M, Mirabella A, Giaccai D, Valboa G, Egli M (2011) Clay mineral evolution along a soil chronosequence in an Alpine proglacial area. Geoderma 165:106_117."
73,Leptosol-Entisol,T,6.3507109,7.582938389,26.68246445,56.63507109,2.748815166,0,0,0,0,0,"Mavris C, Pl_tze M, Mirabella A, Giaccai D, Valboa G, Egli M (2011) Clay mineral evolution along a soil chronosequence in an Alpine proglacial area. Geoderma 165:106_117."
74,Leptosol-Entisol,T,6.302916275,5.597365945,14.25211665,71.02539981,2.822201317,0,0,0,0,0,"Mavris C, Pl_tze M, Mirabella A, Giaccai D, Valboa G, Egli M (2011) Clay mineral evolution along a soil chronosequence in an Alpine proglacial area. Geoderma 165:106_117."
75,Leptosol-Entisol,T,10.86556169,7.688766114,21.91528545,57.68876611,1.841620626,0,0,0,0,0,"Mavris C, Pl_tze M, Mirabella A, Giaccai D, Valboa G, Egli M (2011) Clay mineral evolution along a soil chronosequence in an Alpine proglacial area. Geoderma 165:106_117."
76,Leptosol-Entisol,T,6.191369606,5.722326454,20.45028143,63.78986867,3.846153846,0,0,0,0,0,"Mavris C, Pl_tze M, Mirabella A, Giaccai D, Valboa G, Egli M (2011) Clay mineral evolution along a soil chronosequence in an Alpine proglacial area. Geoderma 165:106_117."
77,Leptosol-Entisol,T,15,4.75,11,67.25,2,0,0,0,0,0,"Costantini EAC, Damiani D (2004) Clay minerals and the development of Quaternary soils in central Italy. Revista Mexicana de Ciencias Geol_gicas 21:144_159."
78,Entisol,T,1.923076923,38.46153846,14.42307692,1.923076923,24.03846154,9.615384615,0,0,0,9.615384615,"Hseu, Z.Y., Tsai, H., Hsi, H.C. and Chen, Y.C., 2007. Weathering sequences of clay minerals in soils along a serpentinitic toposequence. Clays and Clay Minerals, 55(4): 389_401."
79,Entisol,T,0,0,37.74647887,62.25352113,0,0,0,0,0,0,"Doram DR, Evans LJ (1983) Native fixed ammonium and fixation of added ammonium in relation to clay mineralogy in some Ontario soils. Canadian Journal of Soil Science 63:631_639."
80,Entisol,S,78,0,0,0,0,0,0,0,22,0,"Rossel RAV, Cattle SR, Ortega A, Fouad Y (2009) In situ measurements of soil colour, mineral composition and clay content ny vis-NIR spectroscopy. Geoderma 150:253_266."
81,Entisol,T,0,0,0,85.71428571,9.523809524,4.761904762,0,0,0,0,"Allen CE, Darmody RG, Thorn CE, Dixon JC, Schlyter P (2001) Clay mineralogy, chemical weathering and landscape evolution in Arctic_Alpine Sweden. Geoderma 99:277_294."
82,Entisol,S,17,35,0,44,0,0,0,0,4,0,"Rossel RAV, Cattle SR, Ortega A, Fouad Y (2009) In situ measurements of soil colour, mineral composition and clay content ny vis-NIR spectroscopy. Geoderma 150:253_266."
83,Gelisol,T,0,0,20,40,0,0,0,0,0,40,"Claridge GGC (1965) The clay mineralogy and chemistry of some soils from the Ross Dependency, Antarctica. New Zealand Journal of Geology and Geophysics 8:186_220."
84,Gelisol,T,0,0,30,30,0,0,0,0,0,40,"Claridge GGC (1965) The clay mineralogy and chemistry of some soils from the Ross Dependency, Antarctica. New Zealand Journal of Geology and Geophysics 8:186_220."
85,Gelisol,T,0,5,35,60,0,0,0,0,0,0,"Claridge GGC (1965) The clay mineralogy and chemistry of some soils from the Ross Dependency, Antarctica. New Zealand Journal of Geology and Geophysics 8:186_220."
86,Gelisol,T,0,5,45,40,0,0,0,0,0,10,"Claridge GGC (1965) The clay mineralogy and chemistry of some soils from the Ross Dependency, Antarctica. New Zealand Journal of Geology and Geophysics 8:186_220."
87,Gelisol,T,0,0,25,50,0,0,0,0,0,25,"Claridge GGC (1965) The clay mineralogy and chemistry of some soils from the Ross Dependency, Antarctica. New Zealand Journal of Geology and Geophysics 8:186_220."
88,Gelisol,T,0,0,0,70,15,5,0,0,0,10,"Allen CE, Darmody RG, Thorn CE, Dixon JC, Schlyter P (2001) Clay mineralogy, chemical weathering and landscape evolution in Arctic_Alpine Sweden. Geoderma 99:277_294."
89,Inceptisol,T,20,10,0,40,30,0,0,0,0,0,"Srivastava P, Parkash B (1998) Clay minerals in soils as evidence of Holocene climate change, central Indo-Gangetic Plains, North-Central India. Quaternary Research 50:230_239."
90,Inceptisol,S,18.33333333,6.666666667,0,34.33333333,40.66666667,0,0,0,0,0,"Srivastava P, Parkash B (1998) Clay minerals in soils as evidence of Holocene climate change, central Indo-Gangetic Plains, North-Central India. Quaternary Research 50:230_239."
91,Inceptisol,T,11.5,0,14.75,67.25,6.5,0,0,0,0,0,"Costantini EAC, Damiani D (2004) Clay minerals and the development of Quaternary soils in central Italy. Revista Mexicana de Ciencias Geol_gicas 21:144_159."
92,Inceptisol,S,12.5,0,14.5,66.75,6.25,0,0,0,0,0,"Costantini EAC, Damiani D (2004) Clay minerals and the development of Quaternary soils in central Italy. Revista Mexicana de Ciencias Geol_gicas 21:144_159."
93,Inceptisol,T,0,8.5,33.75,27.25,6.5,19,0,0,0,5,"Parfitt RL, Theng BKG, Whitton JS, Shepherd TG (1997) Effects of clay minerals and land use on organic matter pools. Geoderma 75:1-12."
94,Inceptisol,T,16.39508929,8.197544643,8.197544643,9.466517857,10.20758929,12.74553571,2,32.79017857,0,0,"Chen Z-S, Tsou T-C, Asio VB, Tsai C-C (2001) Genesis of inceptisols on a volcanic landscape in Taiwan. Soil Science 166:255_266."
95,Inceptisol,S,20.00517598,7.169254658,7.169254658,8.715320911,9.624223602,8.002070393,6.333333333,32.98136646,0,0,"Chen Z-S, Tsou T-C, Asio VB, Tsai C-C (2001) Genesis of inceptisols on a volcanic landscape in Taiwan. Soil Science 166:255_266."
96,Inceptisol,T,31.25,7.8125,7.8125,15.625,15.625,6.25,0,15.625,0,0,"Chen Z-S, Tsou T-C, Asio VB, Tsai C-C (2001) Genesis of inceptisols on a volcanic landscape in Taiwan. Soil Science 166:255_266."
97,Inceptisol,S,30.44122807,5.856622807,5.856622807,15.8395614,11.71324561,8.426491228,0.8,21.06622807,0,0,"Chen Z-S, Tsou T-C, Asio VB, Tsai C-C (2001) Genesis of inceptisols on a volcanic landscape in Taiwan. Soil Science 166:255_266."
98,Inceptisol,T,33.48214286,8.370535714,8.370535714,9.598214286,16.74107143,6.696428571,0,16.74107143,0,0,"Chen Z-S, Tsou T-C, Asio VB, Tsai C-C (2001) Genesis of inceptisols on a volcanic landscape in Taiwan. Soil Science 166:255_266."
99,Inceptisol,S,21.89695946,5.867469032,5.867469032,14.48493806,11.73493806,7.443975225,0.666666667,32.03758446,0,0,"Chen Z-S, Tsou T-C, Asio VB, Tsai C-C (2001) Genesis of inceptisols on a volcanic landscape in Taiwan. Soil Science 166:255_266."
100,Inceptisol,T,0,27,15,40,18,0,0,0,0,0,"Srivastava P, Parkash B (1998) Clay minerals in soils as evidence of Holocene climate change, central Indo-Gangetic Plains, North-Central India. Quaternary Research 50:230_239."
101,Inceptisol,S,0,42.25,17.75,29,11,0,0,0,0,0,"Srivastava P, Parkash B (1998) Clay minerals in soils as evidence of Holocene climate change, central Indo-Gangetic Plains, North-Central India. Quaternary Research 50:230_239."
102,Inceptisol,T,18.68686869,0,29.29292929,21.21212121,15.65656566,0,0,0,0,15.15151515,"Eusterhues K, Rumpel C, Kleber M, K_gel-Knabner I (2003) Stabilisation of soil organic matter by interactions with minerals as revealed by mineral dissolution and oxidative degradation. Organic Geochemistry 34:1591_1600."
103,Inceptisol,S,20.13422819,0,4.362416107,57.71812081,17.7852349,0,0,0,0,0,"Eusterhues K, Rumpel C, Kleber M, K_gel-Knabner I (2003) Stabilisation of soil organic matter by interactions with minerals as revealed by mineral dissolution and oxidative degradation. Organic Geochemistry 34:1591_1600."
104,Mollisol,T,0,10,0,20,20,0,0,0,0,50,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
105,Mollisol,T,76.06112054,20.09054895,0,0,0,0,0,0,0,3.848330504,"Costa ACS, Bigham JM, Tormena CA, Pintro JC (2004) Clay mineralogy and cation exchange capacity of Brazilian soils from water contents determined by thermal analysis. Thermochimica Acta 413:73_79."
106,Mollisol,T,12.66666667,78.33333333,0,9,0,0,0,0,0,0,"Bhattacharyya, T., Pal, D.K., Chandran, P. and Ray, S.K., 2005. Landuse, clay mineral type and organic carbon content in two mollisols_alfisols_vertisols catenary sequences of tropical India. Clay Research, 24(2): 105_122."
107,Mollisol,S,10.33333333,86.66666667,0,3,0,0,0,0,0,0,"Bhattacharyya, T., Pal, D.K., Chandran, P. and Ray, S.K., 2005. Landuse, clay mineral type and organic carbon content in two mollisols_alfisols_vertisols catenary sequences of tropical India. Clay Research, 24(2): 105_122."
108,Mollisol,T,60,26,0,14,0,0,0,0,0,0,"Bhattacharyya, T., Pal, D.K., Chandran, P. and Ray, S.K., 2005. Landuse, clay mineral type and organic carbon content in two mollisols_alfisols_vertisols catenary sequences of tropical India. Clay Research, 24(2): 105_122."
109,Mollisol,S,69.7,18.9,0,11.4,0,0,0,0,0,0,"Bhattacharyya, T., Pal, D.K., Chandran, P. and Ray, S.K., 2005. Landuse, clay mineral type and organic carbon content in two mollisols_alfisols_vertisols catenary sequences of tropical India. Clay Research, 24(2): 105_122."
110,Oxisol,S,24.77777778,0,10.77777778,64.44444444,0,0,0,0,0,0,"Costantini EAC, Damiani D (2004) Clay minerals and the development of Quaternary soils in central Italy. Revista Mexicana de Ciencias Geol_gicas 21:144_159."
